jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate
"Bahamas, The",1990,1A2D,Coal,,,,,
"Bahamas, The",1990,1A2D,Natural gas,,,,,
"Bahamas, The",1990,1A2D,Oil,,,,,
"Bahamas, The",1990,1A2E,Coal,,,,,
"Bahamas, The",1990,1A2E,Natural gas,,,,,
"Bahamas, The",1990,1A2E,Oil,,,,,
"Bahamas, The",1990,1A2F,Coal,,,,,
"Bahamas, The",1990,1A2F,Natural gas,,,,,
"Bahamas, The",1990,1A2F,Oil,,,,,
"Bahamas, The",1990,1A2G,Coal,,,,,
"Bahamas, The",1990,1A2G,Natural gas,,,,,
"Bahamas, The",1990,1A2G,Oil,,,,,
"Bahamas, The",1990,1A2H,Coal,,,,,
"Bahamas, The",1990,1A2H,Natural gas,,,,,
"Bahamas, The",1990,1A2H,Oil,,,,,
"Bahamas, The",1990,1A2I,Coal,,,,,
"Bahamas, The",1990,1A2I,Natural gas,,,,,
"Bahamas, The",1990,1A2I,Oil,,,,,
"Bahamas, The",1990,1A2J,Coal,,,,,
"Bahamas, The",1990,1A2J,Natural gas,,,,,
"Bahamas, The",1990,1A2J,Oil,,,,,
"Bahamas, The",1990,1A2K,Coal,,,,,
"Bahamas, The",1990,1A2K,Natural gas,,,,,
"Bahamas, The",1990,1A2K,Oil,,,,,
"Bahamas, The",1990,1A2L,Coal,,,,,
"Bahamas, The",1990,1A2L,Natural gas,,,,,
"Bahamas, The",1990,1A2L,Oil,,,,,
"Bahamas, The",1990,1A2M,Coal,,,,,
"Bahamas, The",1990,1A2M,Natural gas,,,,,
"Bahamas, The",1990,1A2M,Oil,,,,,
"Bahamas, The",1990,1A3,Coal,,,,,
"Bahamas, The",1990,1A3,Natural gas,,,,,
"Bahamas, The",1990,1A3,Oil,,,,,
"Bahamas, The",1990,1A3A,Coal,,,,,
"Bahamas, The",1990,1A3A,Natural gas,,,,,
"Bahamas, The",1990,1A3A,Oil,,,,,
"Bahamas, The",1990,1A3A1,Coal,,,,,
"Bahamas, The",1990,1A3A1,Natural gas,,,,,
"Bahamas, The",1990,1A3A1,Oil,,,,,
"Bahamas, The",1990,1A3A2,Coal,,,,,
"Bahamas, The",1990,1A3A2,Natural gas,,,,,
"Bahamas, The",1990,1A3A2,Oil,,,,,
"Bahamas, The",1990,1A3B,Coal,,,,,
"Bahamas, The",1990,1A3B,Natural gas,,,,,
"Bahamas, The",1990,1A3B,Oil,,,,,
"Bahamas, The",1990,1A3C,Coal,,,,,
"Bahamas, The",1990,1A3C,Natural gas,,,,,
"Bahamas, The",1990,1A3C,Oil,,,,,
"Bahamas, The",1990,1A3D,Coal,,,,,
"Bahamas, The",1990,1A3D,Natural gas,,,,,
"Bahamas, The",1990,1A3D,Oil,,,,,
"Bahamas, The",1990,1A3D1,Coal,,,,,
"Bahamas, The",1990,1A3D1,Natural gas,,,,,
"Bahamas, The",1990,1A3D1,Oil,,,,,
"Bahamas, The",1990,1A3D2,Coal,,,,,
"Bahamas, The",1990,1A3D2,Natural gas,,,,,
"Bahamas, The",1990,1A3D2,Oil,,,,,
"Bahamas, The",1990,1A3E,Coal,,,,,
"Bahamas, The",1990,1A3E,Natural gas,,,,,
"Bahamas, The",1990,1A3E,Oil,,,,,
"Bahamas, The",1990,1A3E1,Coal,,,,,
"Bahamas, The",1990,1A3E1,Natural gas,,,,,
"Bahamas, The",1990,1A3E1,Oil,,,,,
"Bahamas, The",1990,1A4,Coal,,,,,
"Bahamas, The",1990,1A4,Natural gas,,,,,
"Bahamas, The",1990,1A4,Oil,,,,,
"Bahamas, The",1990,1A4A,Coal,,,,,
"Bahamas, The",1990,1A4A,Natural gas,,,,,
"Bahamas, The",1990,1A4A,Oil,,,,,
"Bahamas, The",1990,1A4B,Coal,,,,,
"Bahamas, The",1990,1A4B,Natural gas,,,,,
"Bahamas, The",1990,1A4B,Oil,,,,,
"Bahamas, The",1990,1A4C,Coal,,,,,
"Bahamas, The",1990,1A4C,Natural gas,,,,,
"Bahamas, The",1990,1A4C,Oil,,,,,
"Bahamas, The",1990,1A4C1,Coal,,,,,
"Bahamas, The",1990,1A4C1,Natural gas,,,,,
