Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
British Columbia,1989,2B10,,,,,,
British Columbia,1989,2B2,,,,,,
British Columbia,1989,2B3,,,,,,
British Columbia,1989,2B4,,,,,,
British Columbia,1989,2B5,,,,,,
British Columbia,1989,2B6,,,,,,
British Columbia,1989,2B7,,,,,,
British Columbia,1989,2B8,,,,,,
British Columbia,1989,2B8A,,,,,,
British Columbia,1989,2B8B,,,,,,
British Columbia,1989,2B8C,,,,,,
British Columbia,1989,2B8D,,,,,,
British Columbia,1989,2B8E,,,,,,
British Columbia,1989,2B8F,,,,,,
British Columbia,1989,2B9,,,,,,
British Columbia,1989,2B9A,,,,,,
British Columbia,1989,2B9B,,,,,,
British Columbia,1989,2C,,,,,,
British Columbia,1989,2C1,,,,,,
British Columbia,1989,2C2,,,,,,
British Columbia,1989,2C3,,,,,,
British Columbia,1989,2C4,,,,,,
British Columbia,1989,2C5,,,,,,
British Columbia,1989,2C6,,,,,,
British Columbia,1989,2C7,,,,,,
British Columbia,1989,2D,,,,,,
British Columbia,1989,2D1,,,,,,
British Columbia,1989,2D2,,,,,,
British Columbia,1989,2D3,,,,,,
British Columbia,1989,2D4,,,,,,
British Columbia,1989,2E,,,,,,
British Columbia,1989,2F,,,,,,
British Columbia,1989,2F1,,,,,,
British Columbia,1989,2F2,,,,,,
British Columbia,1989,2F3,,,,,,
British Columbia,1989,2F4,,,,,,
British Columbia,1989,2F5,,,,,,
British Columbia,1989,2F6,,,,,,
British Columbia,1989,2G,,,,,,
British Columbia,1989,2G1,,,,,,
British Columbia,1989,2G2,,,,,,
British Columbia,1989,2G3,,,,,,
British Columbia,1989,2G4,,,,,,
British Columbia,1989,2H,,,,,,
British Columbia,1989,2H1,,,,,,
British Columbia,1989,2H2,,,,,,
British Columbia,1989,2H3,,,,,,
British Columbia,1989,3,,,,,,
British Columbia,1989,3A,,,,,,
British Columbia,1989,3A1,,,,,,
British Columbia,1989,3A2,,,,,,
British Columbia,1989,3B,,,,,,
British Columbia,1989,3B1,,,,,,
British Columbia,1989,3B1A,,,,,,
British Columbia,1989,3B1B,,,,,,
British Columbia,1989,3B2,,,,,,
British Columbia,1989,3B2A,,,,,,
British Columbia,1989,3B2B,,,,,,
British Columbia,1989,3B3,,,,,,
British Columbia,1989,3B3A,,,,,,
British Columbia,1989,3B3B,,,,,,
British Columbia,1989,3B4,,,,,,
British Columbia,1989,3B4A,,,,,,
British Columbia,1989,3B4B,,,,,,
British Columbia,1989,3B5,,,,,,
British Columbia,1989,3B5A,,,,,,
British Columbia,1989,3B5B,,,,,,
British Columbia,1989,3B6,,,,,,
British Columbia,1989,3B6A,,,,,,
British Columbia,1989,3B6B,,,,,,
British Columbia,1989,3B6B1,,,,,,
British Columbia,1989,3B6B2,,,,,,
British Columbia,1989,3B6B3,,,,,,
British Columbia,1989,3B6B4,,,,,,
British Columbia,1989,3B6B5,,,,,,
British Columbia,1989,3C,,,,,,
British Columbia,1989,3C1,,,,,,
British Columbia,1989,3C2,,,,,,
British Columbia,1989,3C3,,,,,,
British Columbia,1989,3C4,,,,,,
British Columbia,1989,3C5,,,,,,
British Columbia,1989,3C6,,,,,,
British Columbia,1989,3C7,,,,,,
British Columbia,1989,3C8,,,,,,
British Columbia,1989,3D,,,,,,
British Columbia,1989,3D1,,,,,,
British Columbia,1989,3D2,,,,,,
British Columbia,1989,4,,,,,,
British Columbia,1989,4A,,,,,,
British Columbia,1989,4A1,,,,,,
British Columbia,1989,4A2,,,,,,
British Columbia,1989,4A3,,,,,,
British Columbia,1989,4B,,,,,,
British Columbia,1989,4C,,,,,,
British Columbia,1989,4C1,,,,,,
British Columbia,1989,4C2,,,,,,
British Columbia,1989,4D,,,,,,
British Columbia,1989,4D1,,,,,,
British Columbia,1989,4D2,,,,,,
British Columbia,1989,4E,,,,,,
British Columbia,1989,5,,,,,,
British Columbia,1989,5A,,,,,,
British Columbia,1989,5A1,,,,,,
British Columbia,1989,5A2,,,,,,
British Columbia,1990,0,,,,,,
British Columbia,1990,1,,,,,,
British Columbia,1990,1A,Coal/peat,,,,,
British Columbia,1990,1A,Natural gas,,,,,
British Columbia,1990,1A,Oil,,,,,
British Columbia,1990,1A1,Coal/peat,,,,,
British Columbia,1990,1A1,Natural gas,,,,,
British Columbia,1990,1A1,Oil,,,,,
British Columbia,1990,1A1A,Coal/peat,,,,,
British Columbia,1990,1A1A,Natural gas,,,,,
British Columbia,1990,1A1A,Oil,,,,,
British Columbia,1990,1A1A1,Coal/peat,,,,,
British Columbia,1990,1A1A1,Natural gas,,,,,
British Columbia,1990,1A1A1,Oil,,,,,
British Columbia,1990,1A1A2,Coal/peat,,,,,
British Columbia,1990,1A1A2,Natural gas,,,,,
British Columbia,1990,1A1A2,Oil,,,,,
British Columbia,1990,1A1A3,Coal/peat,,,,,
British Columbia,1990,1A1A3,Natural gas,,,,,
British Columbia,1990,1A1A3,Oil,,,,,
British Columbia,1990,1A1B,Coal/peat,,,,,
British Columbia,1990,1A1B,Natural gas,,,,,
British Columbia,1990,1A1B,Oil,,,,,
British Columbia,1990,1A1C,Coal/peat,,,,,
British Columbia,1990,1A1C,Natural gas,,,,,
British Columbia,1990,1A1C,Oil,,,,,
British Columbia,1990,1A2,Coal/peat,,,,,
British Columbia,1990,1A2,Natural gas,,,,,
British Columbia,1990,1A2,Oil,,,,,
British Columbia,1990,1A2A,Coal/peat,,,,,
British Columbia,1990,1A2A,Natural gas,,,,,
British Columbia,1990,1A2A,Oil,,,,,
British Columbia,1990,1A2B,Coal/peat,,,,,
British Columbia,1990,1A2B,Natural gas,,,,,
British Columbia,1990,1A2B,Oil,,,,,
British Columbia,1990,1A2C,Coal/peat,,,,,
British Columbia,1990,1A2C,Natural gas,,,,,
British Columbia,1990,1A2C,Oil,,,,,
British Columbia,1990,1A2D,Coal/peat,,,,,
British Columbia,1990,1A2D,Natural gas,,,,,
British Columbia,1990,1A2D,Oil,,,,,
British Columbia,1990,1A2E,Coal/peat,,,,,
British Columbia,1990,1A2E,Natural gas,,,,,
British Columbia,1990,1A2E,Oil,,,,,
British Columbia,1990,1A2F,Coal/peat,,,,,
British Columbia,1990,1A2F,Natural gas,,,,,
British Columbia,1990,1A2F,Oil,,,,,
British Columbia,1990,1A2G,Coal/peat,,,,,
British Columbia,1990,1A2G,Natural gas,,,,,
British Columbia,1990,1A2G,Oil,,,,,
British Columbia,1990,1A2H,Coal/peat,,,,,
British Columbia,1990,1A2H,Natural gas,,,,,
British Columbia,1990,1A2H,Oil,,,,,
British Columbia,1990,1A2I,Coal/peat,,,,,
British Columbia,1990,1A2I,Natural gas,,,,,
British Columbia,1990,1A2I,Oil,,,,,
British Columbia,1990,1A2J,Coal/peat,,,,,
British Columbia,1990,1A2J,Natural gas,,,,,
British Columbia,1990,1A2J,Oil,,,,,
British Columbia,1990,1A2K,Coal/peat,,,,,
British Columbia,1990,1A2K,Natural gas,,,,,
British Columbia,1990,1A2K,Oil,,,,,
British Columbia,1990,1A2L,Coal/peat,,,,,
British Columbia,1990,1A2L,Natural gas,,,,,
British Columbia,1990,1A2L,Oil,,,,,
British Columbia,1990,1A2M,Coal/peat,,,,,
British Columbia,1990,1A2M,Natural gas,,,,,
British Columbia,1990,1A2M,Oil,,,,,
British Columbia,1990,1A3,Coal/peat,,,,,
British Columbia,1990,1A3,Natural gas,,,,,
British Columbia,1990,1A3,Oil,,,,,
British Columbia,1990,1A3A,Coal/peat,,,,,
British Columbia,1990,1A3A,Natural gas,,,,,
British Columbia,1990,1A3A,Oil,,,,,
British Columbia,1990,1A3A1,Coal/peat,,,,,
British Columbia,1990,1A3A1,Natural gas,,,,,
British Columbia,1990,1A3A1,Oil,,,,,
British Columbia,1990,1A3A2,Coal/peat,,,,,
British Columbia,1990,1A3A2,Natural gas,,,,,
British Columbia,1990,1A3A2,Oil,,,,,
British Columbia,1990,1A3B,Coal/peat,,,,,
British Columbia,1990,1A3B,Natural gas,,,,,
British Columbia,1990,1A3B,Oil,,,,,
British Columbia,1990,1A3C,Coal/peat,,,,,
British Columbia,1990,1A3C,Natural gas,,,,,
British Columbia,1990,1A3C,Oil,,,,,
British Columbia,1990,1A3D,Coal/peat,,,,,
British Columbia,1990,1A3D,Natural gas,,,,,
British Columbia,1990,1A3D,Oil,,,,,
British Columbia,1990,1A3D1,Coal/peat,,,,,
British Columbia,1990,1A3D1,Natural gas,,,,,
British Columbia,1990,1A3D1,Oil,,,,,
British Columbia,1990,1A3D2,Coal/peat,,,,,
British Columbia,1990,1A3D2,Natural gas,,,,,
British Columbia,1990,1A3D2,Oil,,,,,
British Columbia,1990,1A3E,Coal/peat,,,,,
British Columbia,1990,1A3E,Natural gas,,,,,
British Columbia,1990,1A3E,Oil,,,,,
British Columbia,1990,1A3E1,Coal/peat,,,,,
British Columbia,1990,1A3E1,Natural gas,,,,,
British Columbia,1990,1A3E1,Oil,,,,,
British Columbia,1990,1A4,Coal/peat,,,,,
British Columbia,1990,1A4,Natural gas,,,,,
British Columbia,1990,1A4,Oil,,,,,
British Columbia,1990,1A4A,Coal/peat,,,,,
British Columbia,1990,1A4A,Natural gas,,,,,
British Columbia,1990,1A4A,Oil,,,,,
British Columbia,1990,1A4B,Coal/peat,,,,,
British Columbia,1990,1A4B,Natural gas,,,,,
British Columbia,1990,1A4B,Oil,,,,,
British Columbia,1990,1A4C,Coal/peat,,,,,
British Columbia,1990,1A4C,Natural gas,,,,,
British Columbia,1990,1A4C,Oil,,,,,
British Columbia,1990,1A4C1,Coal/peat,,,,,
British Columbia,1990,1A4C1,Natural gas,,,,,
British Columbia,1990,1A4C1,Oil,,,,,
British Columbia,1990,1A4C2,Coal/peat,,,,,
British Columbia,1990,1A4C2,Natural gas,,,,,
British Columbia,1990,1A4C2,Oil,,,,,
British Columbia,1990,1A4C3,Coal/peat,,,,,
British Columbia,1990,1A4C3,Natural gas,,,,,
British Columbia,1990,1A4C3,Oil,,,,,
British Columbia,1990,1A5,Coal/peat,,,,,
British Columbia,1990,1A5,Natural gas,,,,,
British Columbia,1990,1A5,Oil,,,,,
British Columbia,1990,1A5A,Coal/peat,,,,,
British Columbia,1990,1A5A,Natural gas,,,,,
British Columbia,1990,1A5A,Oil,,,,,
British Columbia,1990,1A5B,Coal/peat,,,,,
British Columbia,1990,1A5B,Natural gas,,,,,
British Columbia,1990,1A5B,Oil,,,,,
British Columbia,1990,1A5C,Coal/peat,,,,,
British Columbia,1990,1A5C,Natural gas,,,,,
British Columbia,1990,1A5C,Oil,,,,,
British Columbia,1990,1B,,,,,,
British Columbia,1990,1B1,,,,,,
British Columbia,1990,1B1A,,,,,,
British Columbia,1990,1B1A1,,,,,,
British Columbia,1990,1B1A11,,,,,,
British Columbia,1990,1B1A12,,,,,,
British Columbia,1990,1B1A13,,,,,,
British Columbia,1990,1B1A14,,,,,,
British Columbia,1990,1B1A2,,,,,,
British Columbia,1990,1B1A21,,,,,,
British Columbia,1990,1B1A22,,,,,,
British Columbia,1990,1B1B,,,,,,
British Columbia,1990,1B2,,,,,,
British Columbia,1990,1B2A,,,,,,
British Columbia,1990,1B2A1,,,,,,
British Columbia,1990,1B2A2,,,,,,
British Columbia,1990,1B2A3,,,,,,
British Columbia,1990,1B2A31,,,,,,
British Columbia,1990,1B2A32,,,,,,
British Columbia,1990,1B2A33,,,,,,
British Columbia,1990,1B2A34,,,,,,
British Columbia,1990,1B2A35,,,,,,
British Columbia,1990,1B2A36,,,,,,
British Columbia,1990,1B2B,,,,,,
British Columbia,1990,1B2B1,,,,,,
British Columbia,1990,1B2B2,,,,,,
British Columbia,1990,1B2B3,,,,,,
British Columbia,1990,1B2B31,,,,,,
British Columbia,1990,1B2B32,,,,,,
British Columbia,1990,1B2B33,,,,,,
British Columbia,1990,1B2B34,,,,,,
British Columbia,1990,1B2B35,,,,,,
British Columbia,1990,1B2B36,,,,,,
British Columbia,1990,1B3,,,,,,
British Columbia,1990,1C,,,,,,
British Columbia,1990,1C1,,,,,,
British Columbia,1990,1C1A,,,,,,
British Columbia,1990,1C1B,,,,,,
British Columbia,1990,1C1C,,,,,,
British Columbia,1990,1C2,,,,,,
British Columbia,1990,1C2A,,,,,,
British Columbia,1990,1C2B,,,,,,
British Columbia,1990,1C3,,,,,,
British Columbia,1990,2,,,,,,
British Columbia,1990,20,,,,,,
British Columbia,1990,200,,,,,,
British Columbia,1990,2000,,,,,,
British Columbia,1990,20000,,,,,,
British Columbia,1990,200000,,,,,,
British Columbia,1990,2A,,,,,,
British Columbia,1990,2A1,,,,,,
British Columbia,1990,2A2,,,,,,
British Columbia,1990,2A3,,,,,,
British Columbia,1990,2A4,,,,,,
British Columbia,1990,2A4A,,,,,,
British Columbia,1990,2A4B,,,,,,
British Columbia,1990,2A4C,,,,,,
British Columbia,1990,2A4D,,,,,,
British Columbia,1990,2B,,,,,,
British Columbia,1990,2B1,,,,,,
British Columbia,1990,2B10,,,,,,
British Columbia,1990,2B2,,,,,,
British Columbia,1990,2B3,,,,,,
British Columbia,1990,2B4,,,,,,
British Columbia,1990,2B5,,,,,,
British Columbia,1990,2B6,,,,,,
British Columbia,1990,2B7,,,,,,
British Columbia,1990,2B8,,,,,,
British Columbia,1990,2B8A,,,,,,
British Columbia,1990,2B8B,,,,,,
British Columbia,1990,2B8C,,,,,,
British Columbia,1990,2B8D,,,,,,
British Columbia,1990,2B8E,,,,,,
British Columbia,1990,2B8F,,,,,,
British Columbia,1990,2B9,,,,,,
British Columbia,1990,2B9A,,,,,,
British Columbia,1990,2B9B,,,,,,
British Columbia,1990,2C,,,,,,
British Columbia,1990,2C1,,,,,,
British Columbia,1990,2C2,,,,,,
British Columbia,1990,2C3,,,,,,
British Columbia,1990,2C4,,,,,,
British Columbia,1990,2C5,,,,,,
British Columbia,1990,2C6,,,,,,
British Columbia,1990,2C7,,,,,,
British Columbia,1990,2D,,,,,,
British Columbia,1990,2D1,,,,,,
British Columbia,1990,2D2,,,,,,
British Columbia,1990,2D3,,,,,,
British Columbia,1990,2D4,,,,,,
British Columbia,1990,2E,,,,,,
British Columbia,1990,2F,,,,,,
British Columbia,1990,2F1,,,,,,
British Columbia,1990,2F2,,,,,,
British Columbia,1990,2F3,,,,,,
British Columbia,1990,2F4,,,,,,
British Columbia,1990,2F5,,,,,,
British Columbia,1990,2F6,,,,,,
British Columbia,1990,2G,,,,,,
British Columbia,1990,2G1,,,,,,
British Columbia,1990,2G2,,,,,,
British Columbia,1990,2G3,,,,,,
British Columbia,1990,2G4,,,,,,
British Columbia,1990,2H,,,,,,
British Columbia,1990,2H1,,,,,,
British Columbia,1990,2H2,,,,,,
British Columbia,1990,2H3,,,,,,
British Columbia,1990,3,,,,,,
British Columbia,1990,3A,,,,,,
British Columbia,1990,3A1,,,,,,
British Columbia,1990,3A2,,,,,,
British Columbia,1990,3B,,,,,,
British Columbia,1990,3B1,,,,,,
British Columbia,1990,3B1A,,,,,,
British Columbia,1990,3B1B,,,,,,
British Columbia,1990,3B2,,,,,,
British Columbia,1990,3B2A,,,,,,
British Columbia,1990,3B2B,,,,,,
British Columbia,1990,3B3,,,,,,
British Columbia,1990,3B3A,,,,,,
British Columbia,1990,3B3B,,,,,,
British Columbia,1990,3B4,,,,,,
British Columbia,1990,3B4A,,,,,,
British Columbia,1990,3B4B,,,,,,
British Columbia,1990,3B5,,,,,,
British Columbia,1990,3B5A,,,,,,
British Columbia,1990,3B5B,,,,,,
British Columbia,1990,3B6,,,,,,
British Columbia,1990,3B6A,,,,,,
British Columbia,1990,3B6B,,,,,,
British Columbia,1990,3B6B1,,,,,,
British Columbia,1990,3B6B2,,,,,,
British Columbia,1990,3B6B3,,,,,,
British Columbia,1990,3B6B4,,,,,,
British Columbia,1990,3B6B5,,,,,,
British Columbia,1990,3C,,,,,,
British Columbia,1990,3C1,,,,,,
British Columbia,1990,3C2,,,,,,
British Columbia,1990,3C3,,,,,,
British Columbia,1990,3C4,,,,,,
British Columbia,1990,3C5,,,,,,
British Columbia,1990,3C6,,,,,,
British Columbia,1990,3C7,,,,,,
British Columbia,1990,3C8,,,,,,
British Columbia,1990,3D,,,,,,
British Columbia,1990,3D1,,,,,,
British Columbia,1990,3D2,,,,,,
British Columbia,1990,4,,,,,,
British Columbia,1990,4A,,,,,,
British Columbia,1990,4A1,,,,,,
British Columbia,1990,4A2,,,,,,
British Columbia,1990,4A3,,,,,,
British Columbia,1990,4B,,,,,,
British Columbia,1990,4C,,,,,,
British Columbia,1990,4C1,,,,,,
British Columbia,1990,4C2,,,,,,
British Columbia,1990,4D,,,,,,
British Columbia,1990,4D1,,,,,,
British Columbia,1990,4D2,,,,,,
British Columbia,1990,4E,,,,,,
British Columbia,1990,5,,,,,,
British Columbia,1990,5A,,,,,,
British Columbia,1990,5A1,,,,,,
British Columbia,1990,5A2,,,,,,
British Columbia,1991,0,,,,,,
British Columbia,1991,1,,,,,,
British Columbia,1991,1A,Coal/peat,,,,,
British Columbia,1991,1A,Natural gas,,,,,
British Columbia,1991,1A,Oil,,,,,
British Columbia,1991,1A1,Coal/peat,,,,,
British Columbia,1991,1A1,Natural gas,,,,,
British Columbia,1991,1A1,Oil,,,,,
British Columbia,1991,1A1A,Coal/peat,,,,,
British Columbia,1991,1A1A,Natural gas,,,,,
British Columbia,1991,1A1A,Oil,,,,,
British Columbia,1991,1A1A1,Coal/peat,,,,,
British Columbia,1991,1A1A1,Natural gas,,,,,
British Columbia,1991,1A1A1,Oil,,,,,
British Columbia,1991,1A1A2,Coal/peat,,,,,
British Columbia,1991,1A1A2,Natural gas,,,,,
British Columbia,1991,1A1A2,Oil,,,,,
British Columbia,1991,1A1A3,Coal/peat,,,,,
British Columbia,1991,1A1A3,Natural gas,,,,,
British Columbia,1991,1A1A3,Oil,,,,,
British Columbia,1991,1A1B,Coal/peat,,,,,
British Columbia,1991,1A1B,Natural gas,,,,,
British Columbia,1991,1A1B,Oil,,,,,
British Columbia,1991,1A1C,Coal/peat,,,,,
British Columbia,1991,1A1C,Natural gas,,,,,
British Columbia,1991,1A1C,Oil,,,,,
British Columbia,1991,1A2,Coal/peat,,,,,
British Columbia,1991,1A2,Natural gas,,,,,
British Columbia,1991,1A2,Oil,,,,,
British Columbia,1991,1A2A,Coal/peat,,,,,
British Columbia,1991,1A2A,Natural gas,,,,,
British Columbia,1991,1A2A,Oil,,,,,
British Columbia,1991,1A2B,Coal/peat,,,,,
British Columbia,1991,1A2B,Natural gas,,,,,
British Columbia,1991,1A2B,Oil,,,,,
British Columbia,1991,1A2C,Coal/peat,,,,,
British Columbia,1991,1A2C,Natural gas,,,,,
