jurisdiction,year,ipcc_code,Product,ets,ets_price,tax,tax_rate_excl_ex_clcu,tax_ex_rate
Sonora,1997,1A2K,Natural gas,,,,,
Sonora,1997,1A2K,Oil,,,,,
Sonora,1997,1A2L,Coal,,,,,
Sonora,1997,1A2L,Natural gas,,,,,
Sonora,1997,1A2L,Oil,,,,,
Sonora,1997,1A2M,Coal,,,,,
Sonora,1997,1A2M,Natural gas,,,,,
Sonora,1997,1A2M,Oil,,,,,
Sonora,1997,1A3,Coal,,,,,
Sonora,1997,1A3,Natural gas,,,,,
Sonora,1997,1A3,Oil,,,,,
Sonora,1997,1A3A,Coal,,,,,
Sonora,1997,1A3A,Natural gas,,,,,
Sonora,1997,1A3A,Oil,,,,,
Sonora,1997,1A3A1,Coal,,,,,
Sonora,1997,1A3A1,Natural gas,,,,,
Sonora,1997,1A3A1,Oil,,,,,
Sonora,1997,1A3A2,Coal,,,,,
Sonora,1997,1A3A2,Natural gas,,,,,
Sonora,1997,1A3A2,Oil,,,,,
Sonora,1997,1A3B,Coal,,,,,
Sonora,1997,1A3B,Natural gas,,,,,
Sonora,1997,1A3B,Oil,,,,,
Sonora,1997,1A3C,Coal,,,,,
Sonora,1997,1A3C,Natural gas,,,,,
Sonora,1997,1A3C,Oil,,,,,
Sonora,1997,1A3D,Coal,,,,,
Sonora,1997,1A3D,Natural gas,,,,,
Sonora,1997,1A3D,Oil,,,,,
Sonora,1997,1A3D1,Coal,,,,,
Sonora,1997,1A3D1,Natural gas,,,,,
Sonora,1997,1A3D1,Oil,,,,,
Sonora,1997,1A3D2,Coal,,,,,
Sonora,1997,1A3D2,Natural gas,,,,,
Sonora,1997,1A3D2,Oil,,,,,
Sonora,1997,1A3E,Coal,,,,,
Sonora,1997,1A3E,Natural gas,,,,,
Sonora,1997,1A3E,Oil,,,,,
Sonora,1997,1A3E1,Coal,,,,,
Sonora,1997,1A3E1,Natural gas,,,,,
Sonora,1997,1A3E1,Oil,,,,,
Sonora,1997,1A4,Coal,,,,,
Sonora,1997,1A4,Natural gas,,,,,
Sonora,1997,1A4,Oil,,,,,
Sonora,1997,1A4A,Coal,,,,,
Sonora,1997,1A4A,Natural gas,,,,,
Sonora,1997,1A4A,Oil,,,,,
Sonora,1997,1A4B,Coal,,,,,
Sonora,1997,1A4B,Natural gas,,,,,
Sonora,1997,1A4B,Oil,,,,,
Sonora,1997,1A4C,Coal,,,,,
Sonora,1997,1A4C,Natural gas,,,,,
Sonora,1997,1A4C,Oil,,,,,
Sonora,1997,1A4C1,Coal,,,,,
Sonora,1997,1A4C1,Natural gas,,,,,
Sonora,1997,1A4C1,Oil,,,,,
Sonora,1997,1A4C2,Coal,,,,,
Sonora,1997,1A4C2,Natural gas,,,,,
Sonora,1997,1A4C2,Oil,,,,,
Sonora,1997,1A4C3,Coal,,,,,
Sonora,1997,1A4C3,Natural gas,,,,,
Sonora,1997,1A4C3,Oil,,,,,
Sonora,1997,1A5,Coal,,,,,
Sonora,1997,1A5,Natural gas,,,,,
Sonora,1997,1A5,Oil,,,,,
Sonora,1997,1A5A,Coal,,,,,
Sonora,1997,1A5A,Natural gas,,,,,
Sonora,1997,1A5A,Oil,,,,,
Sonora,1997,1A5B,Coal,,,,,
Sonora,1997,1A5B,Natural gas,,,,,
Sonora,1997,1A5B,Oil,,,,,
Sonora,1997,1A5C,Coal,,,,,
Sonora,1997,1A5C,Natural gas,,,,,
Sonora,1997,1A5C,Oil,,,,,
Sonora,1997,1B,,,,,,
Sonora,1997,1B1,,,,,,
Sonora,1997,1B1A,,,,,,
Sonora,1997,1B1A1,,,,,,
Sonora,1997,1B1A11,,,,,,
Sonora,1997,1B1A12,,,,,,
Sonora,1997,1B1A13,,,,,,
Sonora,1997,1B1A14,,,,,,
Sonora,1997,1B1A2,,,,,,
Sonora,1997,1B1A21,,,,,,
Sonora,1997,1B1A22,,,,,,
Sonora,1997,1B1B,,,,,,
Sonora,1997,1B2,,,,,,
Sonora,1997,1B2A,,,,,,
Sonora,1997,1B2A1,,,,,,
Sonora,1997,1B2A2,,,,,,
Sonora,1997,1B2A3,,,,,,
Sonora,1997,1B2A31,,,,,,
Sonora,1997,1B2A32,,,,,,
Sonora,1997,1B2A33,,,,,,
Sonora,1997,1B2A34,,,,,,
Sonora,1997,1B2A35,,,,,,
Sonora,1997,1B2A36,,,,,,
Sonora,1997,1B2B,,,,,,
Sonora,1997,1B2B1,,,,,,
Sonora,1997,1B2B2,,,,,,
Sonora,1997,1B2B3,,,,,,
Sonora,1997,1B2B31,,,,,,
Sonora,1997,1B2B32,,,,,,
Sonora,1997,1B2B33,,,,,,
Sonora,1997,1B2B34,,,,,,
Sonora,1997,1B2B35,,,,,,
Sonora,1997,1B2B36,,,,,,
Sonora,1997,1B3,,,,,,
Sonora,1997,1C,,,,,,
Sonora,1997,1C1,,,,,,
Sonora,1997,1C1A,,,,,,
Sonora,1997,1C1B,,,,,,
Sonora,1997,1C1C,,,,,,
Sonora,1997,1C2,,,,,,
Sonora,1997,1C2A,,,,,,
Sonora,1997,1C2B,,,,,,
Sonora,1997,1C3,,,,,,
Sonora,1997,2A,,,,,,
Sonora,1997,2A1,,,,,,
Sonora,1997,2A2,,,,,,
Sonora,1997,2A3,,,,,,
Sonora,1997,2A4,,,,,,
Sonora,1997,2A4A,,,,,,
Sonora,1997,2A4B,,,,,,
Sonora,1997,2A4C,,,,,,
Sonora,1997,2A4D,,,,,,
Sonora,1997,2B,,,,,,
Sonora,1997,2B1,,,,,,
Sonora,1997,2B10,,,,,,
Sonora,1997,2B2,,,,,,
Sonora,1997,2B3,,,,,,
Sonora,1997,2B4,,,,,,
Sonora,1997,2B5,,,,,,
Sonora,1997,2B6,,,,,,
Sonora,1997,2B7,,,,,,
Sonora,1997,2B8,,,,,,
Sonora,1997,2B8A,,,,,,
Sonora,1997,2B8B,,,,,,
Sonora,1997,2B8C,,,,,,
Sonora,1997,2B8D,,,,,,
Sonora,1997,2B8E,,,,,,
Sonora,1997,2B8F,,,,,,
Sonora,1997,2B9,,,,,,
Sonora,1997,2B9A,,,,,,
Sonora,1997,2B9B,,,,,,
Sonora,1997,2C,,,,,,
Sonora,1997,2C1,,,,,,
Sonora,1997,2C2,,,,,,
Sonora,1997,2C3,,,,,,
Sonora,1997,2C4,,,,,,
Sonora,1997,2C5,,,,,,
Sonora,1997,2C6,,,,,,
Sonora,1997,2C7,,,,,,
Sonora,1997,2D,,,,,,
Sonora,1997,2D1,,,,,,
Sonora,1997,2D2,,,,,,
Sonora,1997,2D3,,,,,,
Sonora,1997,2D4,,,,,,
Sonora,1997,2E,,,,,,
Sonora,1997,2E1,,,,,,
Sonora,1997,2E2,,,,,,
Sonora,1997,2E3,,,,,,
Sonora,1997,2E4,,,,,,
Sonora,1997,2E5,,,,,,
Sonora,1997,2F,,,,,,
Sonora,1997,2F1,,,,,,
Sonora,1997,2F2,,,,,,
Sonora,1997,2F3,,,,,,
Sonora,1997,2F4,,,,,,
Sonora,1997,2F5,,,,,,
Sonora,1997,2F6,,,,,,
Sonora,1997,2G,,,,,,
Sonora,1997,2G1,,,,,,
Sonora,1997,2G2,,,,,,
Sonora,1997,2G3,,,,,,
Sonora,1997,2G4,,,,,,
Sonora,1997,2H,,,,,,
Sonora,1997,2H1,,,,,,
Sonora,1997,2H2,,,,,,
Sonora,1997,2H3,,,,,,
Sonora,1997,3A,,,,,,
Sonora,1997,3A1,,,,,,
Sonora,1997,3A2,,,,,,
Sonora,1997,3B,,,,,,
Sonora,1997,3B1,,,,,,
Sonora,1997,3B1A,,,,,,
Sonora,1997,3B1B,,,,,,
Sonora,1997,3B2,,,,,,
Sonora,1997,3B2A,,,,,,
Sonora,1997,3B2B,,,,,,
Sonora,1997,3B3,,,,,,
Sonora,1997,3B3A,,,,,,
Sonora,1997,3B3B,,,,,,
Sonora,1997,3B4,,,,,,
Sonora,1997,3B4A,,,,,,
Sonora,1997,3B4B,,,,,,
Sonora,1997,3B5,,,,,,
Sonora,1997,3B5A,,,,,,
Sonora,1997,3B5B,,,,,,
Sonora,1997,3B6,,,,,,
Sonora,1997,3B6A,,,,,,
Sonora,1997,3B6B,,,,,,
Sonora,1997,3B6B1,,,,,,
Sonora,1997,3B6B2,,,,,,
Sonora,1997,3B6B3,,,,,,
Sonora,1997,3B6B4,,,,,,
Sonora,1997,3B6B5,,,,,,
Sonora,1997,3C,,,,,,
Sonora,1997,3C1,,,,,,
Sonora,1997,3C2,,,,,,
Sonora,1997,3C3,,,,,,
Sonora,1997,3C4,,,,,,
Sonora,1997,3C5,,,,,,
Sonora,1997,3C6,,,,,,
Sonora,1997,3C7,,,,,,
Sonora,1997,3C8,,,,,,
Sonora,1997,3D,,,,,,
Sonora,1997,3D1,,,,,,
Sonora,1997,3D2,,,,,,
Sonora,1997,4A,,,,,,
Sonora,1997,4A1,,,,,,
Sonora,1997,4A2,,,,,,
Sonora,1997,4A3,,,,,,
Sonora,1997,4B,,,,,,
Sonora,1997,4C,,,,,,
Sonora,1997,4C1,,,,,,
Sonora,1997,4C2,,,,,,
Sonora,1997,4D,,,,,,
Sonora,1997,4D1,,,,,,
Sonora,1997,4D2,,,,,,
Sonora,1997,4E,,,,,,
Sonora,1997,5A,,,,,,
Sonora,1997,5A1,,,,,,
Sonora,1997,5A2,,,,,,
Sonora,1998,0,,,,,,
Sonora,1998,1,,,,,,
Sonora,1998,2,,,,,,
Sonora,1998,3,,,,,,
Sonora,1998,4,,,,,,
Sonora,1998,5,,,,,,
Sonora,1998,1A,Coal,,,,,
Sonora,1998,1A,Natural gas,,,,,
Sonora,1998,1A,Oil,,,,,
Sonora,1998,1A1,Coal,,,,,
Sonora,1998,1A1,Natural gas,,,,,
Sonora,1998,1A1,Oil,,,,,
Sonora,1998,1A1A,Coal,,,,,
Sonora,1998,1A1A,Natural gas,,,,,
Sonora,1998,1A1A,Oil,,,,,
Sonora,1998,1A1A1,Coal,,,,,
Sonora,1998,1A1A1,Natural gas,,,,,
Sonora,1998,1A1A1,Oil,,,,,
Sonora,1998,1A1A2,Coal,,,,,
Sonora,1998,1A1A2,Natural gas,,,,,
Sonora,1998,1A1A2,Oil,,,,,
Sonora,1998,1A1A3,Coal,,,,,
Sonora,1998,1A1A3,Natural gas,,,,,
Sonora,1998,1A1A3,Oil,,,,,
Sonora,1998,1A1B,Coal,,,,,
Sonora,1998,1A1B,Natural gas,,,,,
Sonora,1998,1A1B,Oil,,,,,
Sonora,1998,1A1C,Coal,,,,,
Sonora,1998,1A1C,Natural gas,,,,,
Sonora,1998,1A1C,Oil,,,,,
Sonora,1998,1A2,Coal,,,,,
Sonora,1998,1A2,Natural gas,,,,,
Sonora,1998,1A2,Oil,,,,,
Sonora,1998,1A2A,Coal,,,,,
Sonora,1998,1A2A,Natural gas,,,,,
Sonora,1998,1A2A,Oil,,,,,
Sonora,1998,1A2B,Coal,,,,,
Sonora,1998,1A2B,Natural gas,,,,,
Sonora,1998,1A2B,Oil,,,,,
Sonora,1998,1A2C,Coal,,,,,
Sonora,1998,1A2C,Natural gas,,,,,
Sonora,1998,1A2C,Oil,,,,,
Sonora,1998,1A2D,Coal,,,,,
Sonora,1998,1A2D,Natural gas,,,,,
Sonora,1998,1A2D,Oil,,,,,
Sonora,1998,1A2E,Coal,,,,,
Sonora,1998,1A2E,Natural gas,,,,,
Sonora,1998,1A2E,Oil,,,,,
Sonora,1998,1A2F,Coal,,,,,
Sonora,1998,1A2F,Natural gas,,,,,
Sonora,1998,1A2F,Oil,,,,,
Sonora,1998,1A2G,Coal,,,,,
Sonora,1998,1A2G,Natural gas,,,,,
Sonora,1998,1A2G,Oil,,,,,
Sonora,1998,1A2H,Coal,,,,,
Sonora,1998,1A2H,Natural gas,,,,,
Sonora,1998,1A2H,Oil,,,,,
Sonora,1998,1A2I,Coal,,,,,
Sonora,1998,1A2I,Natural gas,,,,,
Sonora,1998,1A2I,Oil,,,,,
Sonora,1998,1A2J,Coal,,,,,
Sonora,1998,1A2J,Natural gas,,,,,
Sonora,1998,1A2J,Oil,,,,,
Sonora,1998,1A2K,Coal,,,,,
Sonora,1998,1A2K,Natural gas,,,,,
Sonora,1998,1A2K,Oil,,,,,
Sonora,1998,1A2L,Coal,,,,,
Sonora,1998,1A2L,Natural gas,,,,,
Sonora,1998,1A2L,Oil,,,,,
Sonora,1998,1A2M,Coal,,,,,
Sonora,1998,1A2M,Natural gas,,,,,
Sonora,1998,1A2M,Oil,,,,,
Sonora,1998,1A3,Coal,,,,,
Sonora,1998,1A3,Natural gas,,,,,
Sonora,1998,1A3,Oil,,,,,
Sonora,1998,1A3A,Coal,,,,,
Sonora,1998,1A3A,Natural gas,,,,,
Sonora,1998,1A3A,Oil,,,,,
Sonora,1998,1A3A1,Coal,,,,,
Sonora,1998,1A3A1,Natural gas,,,,,
Sonora,1998,1A3A1,Oil,,,,,
Sonora,1998,1A3A2,Coal,,,,,
Sonora,1998,1A3A2,Natural gas,,,,,
Sonora,1998,1A3A2,Oil,,,,,
Sonora,1998,1A3B,Coal,,,,,
Sonora,1998,1A3B,Natural gas,,,,,
Sonora,1998,1A3B,Oil,,,,,
Sonora,1998,1A3C,Coal,,,,,
Sonora,1998,1A3C,Natural gas,,,,,
Sonora,1998,1A3C,Oil,,,,,
Sonora,1998,1A3D,Coal,,,,,
Sonora,1998,1A3D,Natural gas,,,,,
Sonora,1998,1A3D,Oil,,,,,
Sonora,1998,1A3D1,Coal,,,,,
Sonora,1998,1A3D1,Natural gas,,,,,
Sonora,1998,1A3D1,Oil,,,,,
Sonora,1998,1A3D2,Coal,,,,,
Sonora,1998,1A3D2,Natural gas,,,,,
Sonora,1998,1A3D2,Oil,,,,,
Sonora,1998,1A3E,Coal,,,,,
Sonora,1998,1A3E,Natural gas,,,,,
Sonora,1998,1A3E,Oil,,,,,
Sonora,1998,1A3E1,Coal,,,,,
Sonora,1998,1A3E1,Natural gas,,,,,
Sonora,1998,1A3E1,Oil,,,,,
Sonora,1998,1A4,Coal,,,,,
Sonora,1998,1A4,Natural gas,,,,,
Sonora,1998,1A4,Oil,,,,,
Sonora,1998,1A4A,Coal,,,,,
Sonora,1998,1A4A,Natural gas,,,,,
Sonora,1998,1A4A,Oil,,,,,
Sonora,1998,1A4B,Coal,,,,,
Sonora,1998,1A4B,Natural gas,,,,,
Sonora,1998,1A4B,Oil,,,,,
Sonora,1998,1A4C,Coal,,,,,
Sonora,1998,1A4C,Natural gas,,,,,
Sonora,1998,1A4C,Oil,,,,,
Sonora,1998,1A4C1,Coal,,,,,
Sonora,1998,1A4C1,Natural gas,,,,,
Sonora,1998,1A4C1,Oil,,,,,
Sonora,1998,1A4C2,Coal,,,,,
Sonora,1998,1A4C2,Natural gas,,,,,
Sonora,1998,1A4C2,Oil,,,,,
Sonora,1998,1A4C3,Coal,,,,,
Sonora,1998,1A4C3,Natural gas,,,,,
Sonora,1998,1A4C3,Oil,,,,,
Sonora,1998,1A5,Coal,,,,,
Sonora,1998,1A5,Natural gas,,,,,
Sonora,1998,1A5,Oil,,,,,
Sonora,1998,1A5A,Coal,,,,,
Sonora,1998,1A5A,Natural gas,,,,,
Sonora,1998,1A5A,Oil,,,,,
Sonora,1998,1A5B,Coal,,,,,
Sonora,1998,1A5B,Natural gas,,,,,
Sonora,1998,1A5B,Oil,,,,,
Sonora,1998,1A5C,Coal,,,,,
Sonora,1998,1A5C,Natural gas,,,,,
Sonora,1998,1A5C,Oil,,,,,
Sonora,1998,1B,,,,,,
Sonora,1998,1B1,,,,,,
Sonora,1998,1B1A,,,,,,
Sonora,1998,1B1A1,,,,,,
Sonora,1998,1B1A11,,,,,,
Sonora,1998,1B1A12,,,,,,
Sonora,1998,1B1A13,,,,,,
Sonora,1998,1B1A14,,,,,,
Sonora,1998,1B1A2,,,,,,
Sonora,1998,1B1A21,,,,,,
Sonora,1998,1B1A22,,,,,,
Sonora,1998,1B1B,,,,,,
Sonora,1998,1B2,,,,,,
Sonora,1998,1B2A,,,,,,
Sonora,1998,1B2A1,,,,,,
Sonora,1998,1B2A2,,,,,,
Sonora,1998,1B2A3,,,,,,
Sonora,1998,1B2A31,,,,,,
Sonora,1998,1B2A32,,,,,,
Sonora,1998,1B2A33,,,,,,
Sonora,1998,1B2A34,,,,,,
Sonora,1998,1B2A35,,,,,,
Sonora,1998,1B2A36,,,,,,
Sonora,1998,1B2B,,,,,,
Sonora,1998,1B2B1,,,,,,
Sonora,1998,1B2B2,,,,,,
Sonora,1998,1B2B3,,,,,,
Sonora,1998,1B2B31,,,,,,
Sonora,1998,1B2B32,,,,,,
Sonora,1998,1B2B33,,,,,,
Sonora,1998,1B2B34,,,,,,
Sonora,1998,1B2B35,,,,,,
Sonora,1998,1B2B36,,,,,,
Sonora,1998,1B3,,,,,,
Sonora,1998,1C,,,,,,
Sonora,1998,1C1,,,,,,
Sonora,1998,1C1A,,,,,,
Sonora,1998,1C1B,,,,,,
Sonora,1998,1C1C,,,,,,
Sonora,1998,1C2,,,,,,
Sonora,1998,1C2A,,,,,,
Sonora,1998,1C2B,,,,,,
Sonora,1998,1C3,,,,,,
Sonora,1998,2A,,,,,,
Sonora,1998,2A1,,,,,,
Sonora,1998,2A2,,,,,,
Sonora,1998,2A3,,,,,,
Sonora,1998,2A4,,,,,,
Sonora,1998,2A4A,,,,,,
Sonora,1998,2A4B,,,,,,
Sonora,1998,2A4C,,,,,,
Sonora,1998,2A4D,,,,,,
Sonora,1998,2B,,,,,,
Sonora,1998,2B1,,,,,,
Sonora,1998,2B10,,,,,,
Sonora,1998,2B2,,,,,,
Sonora,1998,2B3,,,,,,
Sonora,1998,2B4,,,,,,
Sonora,1998,2B5,,,,,,
Sonora,1998,2B6,,,,,,
Sonora,1998,2B7,,,,,,
Sonora,1998,2B8,,,,,,
Sonora,1998,2B8A,,,,,,
Sonora,1998,2B8B,,,,,,
Sonora,1998,2B8C,,,,,,
Sonora,1998,2B8D,,,,,,
Sonora,1998,2B8E,,,,,,
Sonora,1998,2B8F,,,,,,
Sonora,1998,2B9,,,,,,
Sonora,1998,2B9A,,,,,,
Sonora,1998,2B9B,,,,,,
Sonora,1998,2C,,,,,,
Sonora,1998,2C1,,,,,,
Sonora,1998,2C2,,,,,,
Sonora,1998,2C3,,,,,,
Sonora,1998,2C4,,,,,,
Sonora,1998,2C5,,,,,,
Sonora,1998,2C6,,,,,,
Sonora,1998,2C7,,,,,,
Sonora,1998,2D,,,,,,
Sonora,1998,2D1,,,,,,
Sonora,1998,2D2,,,,,,
Sonora,1998,2D3,,,,,,
Sonora,1998,2D4,,,,,,
Sonora,1998,2E,,,,,,
Sonora,1998,2E1,,,,,,
Sonora,1998,2E2,,,,,,
Sonora,1998,2E3,,,,,,
Sonora,1998,2E4,,,,,,
Sonora,1998,2E5,,,,,,
Sonora,1998,2F,,,,,,
Sonora,1998,2F1,,,,,,
Sonora,1998,2F2,,,,,,
Sonora,1998,2F3,,,,,,
Sonora,1998,2F4,,,,,,
Sonora,1998,2F5,,,,,,
Sonora,1998,2F6,,,,,,
Sonora,1998,2G,,,,,,
Sonora,1998,2G1,,,,,,
Sonora,1998,2G2,,,,,,
Sonora,1998,2G3,,,,,,
Sonora,1998,2G4,,,,,,
Sonora,1998,2H,,,,,,
Sonora,1998,2H1,,,,,,
Sonora,1998,2H2,,,,,,
Sonora,1998,2H3,,,,,,
Sonora,1998,3A,,,,,,
Sonora,1998,3A1,,,,,,
Sonora,1998,3A2,,,,,,
Sonora,1998,3B,,,,,,
Sonora,1998,3B1,,,,,,
Sonora,1998,3B1A,,,,,,
Sonora,1998,3B1B,,,,,,
Sonora,1998,3B2,,,,,,
Sonora,1998,3B2A,,,,,,
Sonora,1998,3B2B,,,,,,
Sonora,1998,3B3,,,,,,
Sonora,1998,3B3A,,,,,,
Sonora,1998,3B3B,,,,,,
Sonora,1998,3B4,,,,,,
Sonora,1998,3B4A,,,,,,
Sonora,1998,3B4B,,,,,,
Sonora,1998,3B5,,,,,,
Sonora,1998,3B5A,,,,,,
Sonora,1998,3B5B,,,,,,
Sonora,1998,3B6,,,,,,
Sonora,1998,3B6A,,,,,,
Sonora,1998,3B6B,,,,,,
Sonora,1998,3B6B1,,,,,,
Sonora,1998,3B6B2,,,,,,
Sonora,1998,3B6B3,,,,,,
Sonora,1998,3B6B4,,,,,,
Sonora,1998,3B6B5,,,,,,
Sonora,1998,3C,,,,,,
Sonora,1998,3C1,,,,,,
Sonora,1998,3C2,,,,,,
Sonora,1998,3C3,,,,,,
Sonora,1998,3C4,,,,,,
Sonora,1998,3C5,,,,,,
Sonora,1998,3C6,,,,,,
Sonora,1998,3C7,,,,,,
Sonora,1998,3C8,,,,,,
Sonora,1998,3D,,,,,,
Sonora,1998,3D1,,,,,,
Sonora,1998,3D2,,,,,,
Sonora,1998,4A,,,,,,
Sonora,1998,4A1,,,,,,
Sonora,1998,4A2,,,,,,
Sonora,1998,4A3,,,,,,
Sonora,1998,4B,,,,,,
Sonora,1998,4C,,,,,,
Sonora,1998,4C1,,,,,,
Sonora,1998,4C2,,,,,,
Sonora,1998,4D,,,,,,
Sonora,1998,4D1,,,,,,
Sonora,1998,4D2,,,,,,
Sonora,1998,4E,,,,,,
Sonora,1998,5A,,,,,,
Sonora,1998,5A1,,,,,,
Sonora,1998,5A2,,,,,,
Sonora,1999,0,,,,,,
Sonora,1999,1,,,,,,
Sonora,1999,2,,,,,,
Sonora,1999,3,,,,,,
Sonora,1999,4,,,,,,
Sonora,1999,5,,,,,,
Sonora,1999,1A,Coal,,,,,
Sonora,1999,1A,Natural gas,,,,,
Sonora,1999,1A,Oil,,,,,
Sonora,1999,1A1,Coal,,,,,
Sonora,1999,1A1,Natural gas,,,,,
Sonora,1999,1A1,Oil,,,,,
Sonora,1999,1A1A,Coal,,,,,
Sonora,1999,1A1A,Natural gas,,,,,
Sonora,1999,1A1A,Oil,,,,,
Sonora,1999,1A1A1,Coal,,,,,
Sonora,1999,1A1A1,Natural gas,,,,,
Sonora,1999,1A1A1,Oil,,,,,
Sonora,1999,1A1A2,Coal,,,,,
Sonora,1999,1A1A2,Natural gas,,,,,
Sonora,1999,1A1A2,Oil,,,,,
Sonora,1999,1A1A3,Coal,,,,,
Sonora,1999,1A1A3,Natural gas,,,,,
Sonora,1999,1A1A3,Oil,,,,,
Sonora,1999,1A1B,Coal,,,,,
Sonora,1999,1A1B,Natural gas,,,,,
Sonora,1999,1A1B,Oil,,,,,
Sonora,1999,1A1C,Coal,,,,,
Sonora,1999,1A1C,Natural gas,,,,,
Sonora,1999,1A1C,Oil,,,,,
Sonora,1999,1A2,Coal,,,,,
Sonora,1999,1A2,Natural gas,,,,,
Sonora,1999,1A2,Oil,,,,,
Sonora,1999,1A2A,Coal,,,,,
Sonora,1999,1A2A,Natural gas,,,,,
Sonora,1999,1A2A,Oil,,,,,
Sonora,1999,1A2B,Coal,,,,,
Sonora,1999,1A2B,Natural gas,,,,,
Sonora,1999,1A2B,Oil,,,,,
Sonora,1999,1A2C,Coal,,,,,
Sonora,1999,1A2C,Natural gas,,,,,
Sonora,1999,1A2C,Oil,,,,,
Sonora,1999,1A2D,Coal,,,,,
Sonora,1999,1A2D,Natural gas,,,,,
Sonora,1999,1A2D,Oil,,,,,
Sonora,1999,1A2E,Coal,,,,,
Sonora,1999,1A2E,Natural gas,,,,,
Sonora,1999,1A2E,Oil,,,,,
Sonora,1999,1A2F,Coal,,,,,
Sonora,1999,1A2F,Natural gas,,,,,
Sonora,1999,1A2F,Oil,,,,,
Sonora,1999,1A2G,Coal,,,,,
Sonora,1999,1A2G,Natural gas,,,,,
Sonora,1999,1A2G,Oil,,,,,
Sonora,1999,1A2H,Coal,,,,,
Sonora,1999,1A2H,Natural gas,,,,,
Sonora,1999,1A2H,Oil,,,,,
Sonora,1999,1A2I,Coal,,,,,
Sonora,1999,1A2I,Natural gas,,,,,
Sonora,1999,1A2I,Oil,,,,,
Sonora,1999,1A2J,Coal,,,,,
Sonora,1999,1A2J,Natural gas,,,,,
Sonora,1999,1A2J,Oil,,,,,
Sonora,1999,1A2K,Coal,,,,,
Sonora,1999,1A2K,Natural gas,,,,,
Sonora,1999,1A2K,Oil,,,,,
Sonora,1999,1A2L,Coal,,,,,
Sonora,1999,1A2L,Natural gas,,,,,
Sonora,1999,1A2L,Oil,,,,,
Sonora,1999,1A2M,Coal,,,,,
Sonora,1999,1A2M,Natural gas,,,,,
Sonora,1999,1A2M,Oil,,,,,
Sonora,1999,1A3,Coal,,,,,
Sonora,1999,1A3,Natural gas,,,,,
Sonora,1999,1A3,Oil,,,,,
Sonora,1999,1A3A,Coal,,,,,
Sonora,1999,1A3A,Natural gas,,,,,
Sonora,1999,1A3A,Oil,,,,,
Sonora,1999,1A3A1,Coal,,,,,
Sonora,1999,1A3A1,Natural gas,,,,,
Sonora,1999,1A3A1,Oil,,,,,
Sonora,1999,1A3A2,Coal,,,,,
Sonora,1999,1A3A2,Natural gas,,,,,
Sonora,1999,1A3A2,Oil,,,,,
Sonora,1999,1A3B,Coal,,,,,
Sonora,1999,1A3B,Natural gas,,,,,
Sonora,1999,1A3B,Oil,,,,,
Sonora,1999,1A3C,Coal,,,,,
Sonora,1999,1A3C,Natural gas,,,,,
Sonora,1999,1A3C,Oil,,,,,
Sonora,1999,1A3D,Coal,,,,,
Sonora,1999,1A3D,Natural gas,,,,,
Sonora,1999,1A3D,Oil,,,,,
Sonora,1999,1A3D1,Coal,,,,,
Sonora,1999,1A3D1,Natural gas,,,,,
Sonora,1999,1A3D1,Oil,,,,,
Sonora,1999,1A3D2,Coal,,,,,
Sonora,1999,1A3D2,Natural gas,,,,,
Sonora,1999,1A3D2,Oil,,,,,
Sonora,1999,1A3E,Coal,,,,,
Sonora,1999,1A3E,Natural gas,,,,,
Sonora,1999,1A3E,Oil,,,,,
Sonora,1999,1A3E1,Coal,,,,,
Sonora,1999,1A3E1,Natural gas,,,,,
Sonora,1999,1A3E1,Oil,,,,,
Sonora,1999,1A4,Coal,,,,,
Sonora,1999,1A4,Natural gas,,,,,
Sonora,1999,1A4,Oil,,,,,
Sonora,1999,1A4A,Coal,,,,,
Sonora,1999,1A4A,Natural gas,,,,,
Sonora,1999,1A4A,Oil,,,,,
Sonora,1999,1A4B,Coal,,,,,
Sonora,1999,1A4B,Natural gas,,,,,
Sonora,1999,1A4B,Oil,,,,,
Sonora,1999,1A4C,Coal,,,,,
Sonora,1999,1A4C,Natural gas,,,,,
Sonora,1999,1A4C,Oil,,,,,
Sonora,1999,1A4C1,Coal,,,,,
Sonora,1999,1A4C1,Natural gas,,,,,
Sonora,1999,1A4C1,Oil,,,,,
Sonora,1999,1A4C2,Coal,,,,,
Sonora,1999,1A4C2,Natural gas,,,,,
Sonora,1999,1A4C2,Oil,,,,,
Sonora,1999,1A4C3,Coal,,,,,
Sonora,1999,1A4C3,Natural gas,,,,,
Sonora,1999,1A4C3,Oil,,,,,
Sonora,1999,1A5,Coal,,,,,
Sonora,1999,1A5,Natural gas,,,,,
Sonora,1999,1A5,Oil,,,,,
Sonora,1999,1A5A,Coal,,,,,
Sonora,1999,1A5A,Natural gas,,,,,
Sonora,1999,1A5A,Oil,,,,,
Sonora,1999,1A5B,Coal,,,,,
Sonora,1999,1A5B,Natural gas,,,,,
Sonora,1999,1A5B,Oil,,,,,
Sonora,1999,1A5C,Coal,,,,,
Sonora,1999,1A5C,Natural gas,,,,,
Sonora,1999,1A5C,Oil,,,,,
Sonora,1999,1B,,,,,,
Sonora,1999,1B1,,,,,,
Sonora,1999,1B1A,,,,,,
Sonora,1999,1B1A1,,,,,,
Sonora,1999,1B1A11,,,,,,
Sonora,1999,1B1A12,,,,,,
Sonora,1999,1B1A13,,,,,,
