Jurisdiction,Year,IPCC_cat_code,Product,tax_dummy,ets_dummy,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Cameroon,1994,2A4A,,,,,,
Cameroon,1994,2A4B,,,,,,
Cameroon,1994,2A4C,,,,,,
Cameroon,1994,2A4D,,,,,,
Cameroon,1994,2B,,,,,,
Cameroon,1994,2B1,,,,,,
Cameroon,1994,2B10,,,,,,
Cameroon,1994,2B2,,,,,,
Cameroon,1994,2B3,,,,,,
Cameroon,1994,2B4,,,,,,
Cameroon,1994,2B5,,,,,,
Cameroon,1994,2B6,,,,,,
Cameroon,1994,2B7,,,,,,
Cameroon,1994,2B8,,,,,,
Cameroon,1994,2B8A,,,,,,
Cameroon,1994,2B8B,,,,,,
Cameroon,1994,2B8C,,,,,,
Cameroon,1994,2B8D,,,,,,
Cameroon,1994,2B8E,,,,,,
Cameroon,1994,2B8F,,,,,,
Cameroon,1994,2B9,,,,,,
Cameroon,1994,2B9A,,,,,,
Cameroon,1994,2B9B,,,,,,
Cameroon,1994,2C,,,,,,
Cameroon,1994,2C1,,,,,,
Cameroon,1994,2C2,,,,,,
Cameroon,1994,2C3,,,,,,
Cameroon,1994,2C4,,,,,,
Cameroon,1994,2C5,,,,,,
Cameroon,1994,2C6,,,,,,
Cameroon,1994,2C7,,,,,,
Cameroon,1994,2D,,,,,,
Cameroon,1994,2D1,,,,,,
Cameroon,1994,2D2,,,,,,
Cameroon,1994,2D3,,,,,,
Cameroon,1994,2D4,,,,,,
Cameroon,1994,2E,,,,,,
Cameroon,1994,2F,,,,,,
Cameroon,1994,2F1,,,,,,
Cameroon,1994,2F2,,,,,,
Cameroon,1994,2F3,,,,,,
Cameroon,1994,2F4,,,,,,
Cameroon,1994,2F5,,,,,,
Cameroon,1994,2F6,,,,,,
Cameroon,1994,2G,,,,,,
Cameroon,1994,2G1,,,,,,
Cameroon,1994,2G2,,,,,,
Cameroon,1994,2G3,,,,,,
Cameroon,1994,2G4,,,,,,
Cameroon,1994,2H,,,,,,
Cameroon,1994,2H1,,,,,,
Cameroon,1994,2H2,,,,,,
Cameroon,1994,2H3,,,,,,
Cameroon,1994,3,,,,,,
Cameroon,1994,3A,,,,,,
Cameroon,1994,3A1,,,,,,
Cameroon,1994,3A2,,,,,,
Cameroon,1994,3B,,,,,,
Cameroon,1994,3B1,,,,,,
Cameroon,1994,3B1A,,,,,,
Cameroon,1994,3B1B,,,,,,
Cameroon,1994,3B2,,,,,,
Cameroon,1994,3B2A,,,,,,
Cameroon,1994,3B2B,,,,,,
Cameroon,1994,3B3,,,,,,
Cameroon,1994,3B3A,,,,,,
Cameroon,1994,3B3B,,,,,,
Cameroon,1994,3B4,,,,,,
Cameroon,1994,3B4A,,,,,,
Cameroon,1994,3B4B,,,,,,
Cameroon,1994,3B5,,,,,,
Cameroon,1994,3B5A,,,,,,
Cameroon,1994,3B5B,,,,,,
Cameroon,1994,3B6,,,,,,
Cameroon,1994,3B6A,,,,,,
Cameroon,1994,3B6B,,,,,,
Cameroon,1994,3B6B1,,,,,,
Cameroon,1994,3B6B2,,,,,,
Cameroon,1994,3B6B3,,,,,,
Cameroon,1994,3B6B4,,,,,,
Cameroon,1994,3B6B5,,,,,,
Cameroon,1994,3C,,,,,,
Cameroon,1994,3C1,,,,,,
Cameroon,1994,3C2,,,,,,
Cameroon,1994,3C3,,,,,,
Cameroon,1994,3C4,,,,,,
Cameroon,1994,3C5,,,,,,
Cameroon,1994,3C6,,,,,,
Cameroon,1994,3C7,,,,,,
Cameroon,1994,3C8,,,,,,
Cameroon,1994,3D,,,,,,
Cameroon,1994,3D1,,,,,,
Cameroon,1994,3D2,,,,,,
Cameroon,1994,4,,,,,,
Cameroon,1994,4A,,,,,,
Cameroon,1994,4A1,,,,,,
Cameroon,1994,4A2,,,,,,
Cameroon,1994,4A3,,,,,,
Cameroon,1994,4B,,,,,,
Cameroon,1994,4C,,,,,,
Cameroon,1994,4C1,,,,,,
Cameroon,1994,4C2,,,,,,
Cameroon,1994,4D,,,,,,
Cameroon,1994,4D1,,,,,,
Cameroon,1994,4D2,,,,,,
Cameroon,1994,4E,,,,,,
Cameroon,1994,5,,,,,,
Cameroon,1994,5A,,,,,,
Cameroon,1994,5A1,,,,,,
Cameroon,1994,5A2,,,,,,
Cameroon,1995,0,,,,,,
Cameroon,1995,1,,,,,,
Cameroon,1995,1A,Coal/peat,,,,,
Cameroon,1995,1A,Natural gas,,,,,
Cameroon,1995,1A,Oil,,,,,
Cameroon,1995,1A1,Coal/peat,,,,,
Cameroon,1995,1A1,Natural gas,,,,,
Cameroon,1995,1A1,Oil,,,,,
Cameroon,1995,1A1A,Coal/peat,,,,,
Cameroon,1995,1A1A,Natural gas,,,,,
Cameroon,1995,1A1A,Oil,,,,,
Cameroon,1995,1A1A1,Coal/peat,,,,,
Cameroon,1995,1A1A1,Natural gas,,,,,
Cameroon,1995,1A1A1,Oil,,,,,
Cameroon,1995,1A1A2,Coal/peat,,,,,
Cameroon,1995,1A1A2,Natural gas,,,,,
Cameroon,1995,1A1A2,Oil,,,,,
Cameroon,1995,1A1A3,Coal/peat,,,,,
Cameroon,1995,1A1A3,Natural gas,,,,,
Cameroon,1995,1A1A3,Oil,,,,,
Cameroon,1995,1A1B,Coal/peat,,,,,
Cameroon,1995,1A1B,Natural gas,,,,,
Cameroon,1995,1A1B,Oil,,,,,
Cameroon,1995,1A1C,Coal/peat,,,,,
Cameroon,1995,1A1C,Natural gas,,,,,
Cameroon,1995,1A1C,Oil,,,,,
Cameroon,1995,1A2,Coal/peat,,,,,
Cameroon,1995,1A2,Natural gas,,,,,
Cameroon,1995,1A2,Oil,,,,,
Cameroon,1995,1A2A,Coal/peat,,,,,
Cameroon,1995,1A2A,Natural gas,,,,,
Cameroon,1995,1A2A,Oil,,,,,
Cameroon,1995,1A2B,Coal/peat,,,,,
Cameroon,1995,1A2B,Natural gas,,,,,
Cameroon,1995,1A2B,Oil,,,,,
Cameroon,1995,1A2C,Coal/peat,,,,,
Cameroon,1995,1A2C,Natural gas,,,,,
Cameroon,1995,1A2C,Oil,,,,,
Cameroon,1995,1A2D,Coal/peat,,,,,
Cameroon,1995,1A2D,Natural gas,,,,,
Cameroon,1995,1A2D,Oil,,,,,
Cameroon,1995,1A2E,Coal/peat,,,,,
Cameroon,1995,1A2E,Natural gas,,,,,
Cameroon,1995,1A2E,Oil,,,,,
Cameroon,1995,1A2F,Coal/peat,,,,,
Cameroon,1995,1A2F,Natural gas,,,,,
Cameroon,1995,1A2F,Oil,,,,,
Cameroon,1995,1A2G,Coal/peat,,,,,
Cameroon,1995,1A2G,Natural gas,,,,,
Cameroon,1995,1A2G,Oil,,,,,
Cameroon,1995,1A2H,Coal/peat,,,,,
Cameroon,1995,1A2H,Natural gas,,,,,
Cameroon,1995,1A2H,Oil,,,,,
Cameroon,1995,1A2I,Coal/peat,,,,,
Cameroon,1995,1A2I,Natural gas,,,,,
Cameroon,1995,1A2I,Oil,,,,,
Cameroon,1995,1A2J,Coal/peat,,,,,
Cameroon,1995,1A2J,Natural gas,,,,,
Cameroon,1995,1A2J,Oil,,,,,
Cameroon,1995,1A2K,Coal/peat,,,,,
Cameroon,1995,1A2K,Natural gas,,,,,
Cameroon,1995,1A2K,Oil,,,,,
Cameroon,1995,1A2L,Coal/peat,,,,,
Cameroon,1995,1A2L,Natural gas,,,,,
Cameroon,1995,1A2L,Oil,,,,,
Cameroon,1995,1A2M,Coal/peat,,,,,
Cameroon,1995,1A2M,Natural gas,,,,,
Cameroon,1995,1A2M,Oil,,,,,
Cameroon,1995,1A3,Coal/peat,,,,,
Cameroon,1995,1A3,Natural gas,,,,,
Cameroon,1995,1A3,Oil,,,,,
Cameroon,1995,1A3A,Coal/peat,,,,,
Cameroon,1995,1A3A,Natural gas,,,,,
Cameroon,1995,1A3A,Oil,,,,,
Cameroon,1995,1A3A1,Coal/peat,,,,,
Cameroon,1995,1A3A1,Natural gas,,,,,
Cameroon,1995,1A3A1,Oil,,,,,
Cameroon,1995,1A3A2,Coal/peat,,,,,
Cameroon,1995,1A3A2,Natural gas,,,,,
Cameroon,1995,1A3A2,Oil,,,,,
Cameroon,1995,1A3B,Coal/peat,,,,,
Cameroon,1995,1A3B,Natural gas,,,,,
Cameroon,1995,1A3B,Oil,,,,,
Cameroon,1995,1A3C,Coal/peat,,,,,
Cameroon,1995,1A3C,Natural gas,,,,,
Cameroon,1995,1A3C,Oil,,,,,
Cameroon,1995,1A3D,Coal/peat,,,,,
Cameroon,1995,1A3D,Natural gas,,,,,
Cameroon,1995,1A3D,Oil,,,,,
Cameroon,1995,1A3D1,Coal/peat,,,,,
Cameroon,1995,1A3D1,Natural gas,,,,,
Cameroon,1995,1A3D1,Oil,,,,,
Cameroon,1995,1A3D2,Coal/peat,,,,,
Cameroon,1995,1A3D2,Natural gas,,,,,
Cameroon,1995,1A3D2,Oil,,,,,
Cameroon,1995,1A3E,Coal/peat,,,,,
Cameroon,1995,1A3E,Natural gas,,,,,
Cameroon,1995,1A3E,Oil,,,,,
Cameroon,1995,1A3E1,Coal/peat,,,,,
Cameroon,1995,1A3E1,Natural gas,,,,,
Cameroon,1995,1A3E1,Oil,,,,,
Cameroon,1995,1A4,Coal/peat,,,,,
Cameroon,1995,1A4,Natural gas,,,,,
Cameroon,1995,1A4,Oil,,,,,
Cameroon,1995,1A4A,Coal/peat,,,,,
Cameroon,1995,1A4A,Natural gas,,,,,
Cameroon,1995,1A4A,Oil,,,,,
Cameroon,1995,1A4B,Coal/peat,,,,,
Cameroon,1995,1A4B,Natural gas,,,,,
Cameroon,1995,1A4B,Oil,,,,,
Cameroon,1995,1A4C,Coal/peat,,,,,
Cameroon,1995,1A4C,Natural gas,,,,,
Cameroon,1995,1A4C,Oil,,,,,
Cameroon,1995,1A4C1,Coal/peat,,,,,
Cameroon,1995,1A4C1,Natural gas,,,,,
Cameroon,1995,1A4C1,Oil,,,,,
Cameroon,1995,1A4C2,Coal/peat,,,,,
Cameroon,1995,1A4C2,Natural gas,,,,,
Cameroon,1995,1A4C2,Oil,,,,,
Cameroon,1995,1A4C3,Coal/peat,,,,,
Cameroon,1995,1A4C3,Natural gas,,,,,
Cameroon,1995,1A4C3,Oil,,,,,
Cameroon,1995,1A5,Coal/peat,,,,,
Cameroon,1995,1A5,Natural gas,,,,,
Cameroon,1995,1A5,Oil,,,,,
Cameroon,1995,1A5A,Coal/peat,,,,,
Cameroon,1995,1A5A,Natural gas,,,,,
Cameroon,1995,1A5A,Oil,,,,,
Cameroon,1995,1A5B,Coal/peat,,,,,
Cameroon,1995,1A5B,Natural gas,,,,,
Cameroon,1995,1A5B,Oil,,,,,
Cameroon,1995,1A5C,Coal/peat,,,,,
Cameroon,1995,1A5C,Natural gas,,,,,
Cameroon,1995,1A5C,Oil,,,,,
Cameroon,1995,1B,,,,,,
Cameroon,1995,1B1,,,,,,
Cameroon,1995,1B1A,,,,,,
Cameroon,1995,1B1A1,,,,,,
Cameroon,1995,1B1A11,,,,,,
Cameroon,1995,1B1A12,,,,,,
Cameroon,1995,1B1A13,,,,,,
Cameroon,1995,1B1A14,,,,,,
Cameroon,1995,1B1A2,,,,,,
Cameroon,1995,1B1A21,,,,,,
Cameroon,1995,1B1A22,,,,,,
Cameroon,1995,1B1B,,,,,,
Cameroon,1995,1B2,,,,,,
Cameroon,1995,1B2A,,,,,,
Cameroon,1995,1B2A1,,,,,,
Cameroon,1995,1B2A2,,,,,,
Cameroon,1995,1B2A3,,,,,,
Cameroon,1995,1B2A31,,,,,,
Cameroon,1995,1B2A32,,,,,,
Cameroon,1995,1B2A33,,,,,,
Cameroon,1995,1B2A34,,,,,,
Cameroon,1995,1B2A35,,,,,,
Cameroon,1995,1B2A36,,,,,,
Cameroon,1995,1B2B,,,,,,
Cameroon,1995,1B2B1,,,,,,
Cameroon,1995,1B2B2,,,,,,
Cameroon,1995,1B2B3,,,,,,
Cameroon,1995,1B2B31,,,,,,
Cameroon,1995,1B2B32,,,,,,
Cameroon,1995,1B2B33,,,,,,
Cameroon,1995,1B2B34,,,,,,
Cameroon,1995,1B2B35,,,,,,
Cameroon,1995,1B2B36,,,,,,
Cameroon,1995,1B3,,,,,,
Cameroon,1995,1C,,,,,,
Cameroon,1995,1C1,,,,,,
Cameroon,1995,1C1A,,,,,,
Cameroon,1995,1C1B,,,,,,
Cameroon,1995,1C1C,,,,,,
Cameroon,1995,1C2,,,,,,
Cameroon,1995,1C2A,,,,,,
Cameroon,1995,1C2B,,,,,,
Cameroon,1995,1C3,,,,,,
Cameroon,1995,2,,,,,,
Cameroon,1995,20,,,,,,
Cameroon,1995,200,,,,,,
Cameroon,1995,2000,,,,,,
Cameroon,1995,20000,,,,,,
Cameroon,1995,200000,,,,,,
Cameroon,1995,2A,,,,,,
Cameroon,1995,2A1,,,,,,
Cameroon,1995,2A2,,,,,,
Cameroon,1995,2A3,,,,,,
Cameroon,1995,2A4,,,,,,
Cameroon,1995,2A4A,,,,,,
Cameroon,1995,2A4B,,,,,,
Cameroon,1995,2A4C,,,,,,
Cameroon,1995,2A4D,,,,,,
Cameroon,1995,2B,,,,,,
Cameroon,1995,2B1,,,,,,
Cameroon,1995,2B10,,,,,,
Cameroon,1995,2B2,,,,,,
Cameroon,1995,2B3,,,,,,
Cameroon,1995,2B4,,,,,,
Cameroon,1995,2B5,,,,,,
Cameroon,1995,2B6,,,,,,
Cameroon,1995,2B7,,,,,,
Cameroon,1995,2B8,,,,,,
Cameroon,1995,2B8A,,,,,,
Cameroon,1995,2B8B,,,,,,
Cameroon,1995,2B8C,,,,,,
Cameroon,1995,2B8D,,,,,,
Cameroon,1995,2B8E,,,,,,
Cameroon,1995,2B8F,,,,,,
Cameroon,1995,2B9,,,,,,
Cameroon,1995,2B9A,,,,,,
Cameroon,1995,2B9B,,,,,,
Cameroon,1995,2C,,,,,,
Cameroon,1995,2C1,,,,,,
Cameroon,1995,2C2,,,,,,
Cameroon,1995,2C3,,,,,,
Cameroon,1995,2C4,,,,,,
Cameroon,1995,2C5,,,,,,
Cameroon,1995,2C6,,,,,,
Cameroon,1995,2C7,,,,,,
Cameroon,1995,2D,,,,,,
Cameroon,1995,2D1,,,,,,
Cameroon,1995,2D2,,,,,,
Cameroon,1995,2D3,,,,,,
Cameroon,1995,2D4,,,,,,
Cameroon,1995,2E,,,,,,
Cameroon,1995,2F,,,,,,
Cameroon,1995,2F1,,,,,,
Cameroon,1995,2F2,,,,,,
Cameroon,1995,2F3,,,,,,
Cameroon,1995,2F4,,,,,,
Cameroon,1995,2F5,,,,,,
Cameroon,1995,2F6,,,,,,
Cameroon,1995,2G,,,,,,
Cameroon,1995,2G1,,,,,,
Cameroon,1995,2G2,,,,,,
Cameroon,1995,2G3,,,,,,
Cameroon,1995,2G4,,,,,,
Cameroon,1995,2H,,,,,,
Cameroon,1995,2H1,,,,,,
Cameroon,1995,2H2,,,,,,
Cameroon,1995,2H3,,,,,,
Cameroon,1995,3,,,,,,
Cameroon,1995,3A,,,,,,
Cameroon,1995,3A1,,,,,,
Cameroon,1995,3A2,,,,,,
Cameroon,1995,3B,,,,,,
Cameroon,1995,3B1,,,,,,
Cameroon,1995,3B1A,,,,,,
Cameroon,1995,3B1B,,,,,,
Cameroon,1995,3B2,,,,,,
Cameroon,1995,3B2A,,,,,,
Cameroon,1995,3B2B,,,,,,
Cameroon,1995,3B3,,,,,,
Cameroon,1995,3B3A,,,,,,
Cameroon,1995,3B3B,,,,,,
Cameroon,1995,3B4,,,,,,
Cameroon,1995,3B4A,,,,,,
Cameroon,1995,3B4B,,,,,,
Cameroon,1995,3B5,,,,,,
Cameroon,1995,3B5A,,,,,,
Cameroon,1995,3B5B,,,,,,
Cameroon,1995,3B6,,,,,,
Cameroon,1995,3B6A,,,,,,
Cameroon,1995,3B6B,,,,,,
Cameroon,1995,3B6B1,,,,,,
Cameroon,1995,3B6B2,,,,,,
Cameroon,1995,3B6B3,,,,,,
Cameroon,1995,3B6B4,,,,,,
Cameroon,1995,3B6B5,,,,,,
Cameroon,1995,3C,,,,,,
Cameroon,1995,3C1,,,,,,
Cameroon,1995,3C2,,,,,,
Cameroon,1995,3C3,,,,,,
Cameroon,1995,3C4,,,,,,
Cameroon,1995,3C5,,,,,,
Cameroon,1995,3C6,,,,,,
Cameroon,1995,3C7,,,,,,
Cameroon,1995,3C8,,,,,,
Cameroon,1995,3D,,,,,,
Cameroon,1995,3D1,,,,,,
Cameroon,1995,3D2,,,,,,
Cameroon,1995,4,,,,,,
Cameroon,1995,4A,,,,,,
Cameroon,1995,4A1,,,,,,
Cameroon,1995,4A2,,,,,,
Cameroon,1995,4A3,,,,,,
Cameroon,1995,4B,,,,,,
Cameroon,1995,4C,,,,,,
Cameroon,1995,4C1,,,,,,
Cameroon,1995,4C2,,,,,,
Cameroon,1995,4D,,,,,,
Cameroon,1995,4D1,,,,,,
Cameroon,1995,4D2,,,,,,
Cameroon,1995,4E,,,,,,
Cameroon,1995,5,,,,,,
Cameroon,1995,5A,,,,,,
Cameroon,1995,5A1,,,,,,
Cameroon,1995,5A2,,,,,,
Cameroon,1996,0,,,,,,
Cameroon,1996,1,,,,,,
Cameroon,1996,1A,Coal/peat,,,,,
Cameroon,1996,1A,Natural gas,,,,,
Cameroon,1996,1A,Oil,,,,,
Cameroon,1996,1A1,Coal/peat,,,,,
Cameroon,1996,1A1,Natural gas,,,,,
Cameroon,1996,1A1,Oil,,,,,
Cameroon,1996,1A1A,Coal/peat,,,,,
Cameroon,1996,1A1A,Natural gas,,,,,
Cameroon,1996,1A1A,Oil,,,,,
Cameroon,1996,1A1A1,Coal/peat,,,,,
Cameroon,1996,1A1A1,Natural gas,,,,,
Cameroon,1996,1A1A1,Oil,,,,,
Cameroon,1996,1A1A2,Coal/peat,,,,,
Cameroon,1996,1A1A2,Natural gas,,,,,
Cameroon,1996,1A1A2,Oil,,,,,
Cameroon,1996,1A1A3,Coal/peat,,,,,
Cameroon,1996,1A1A3,Natural gas,,,,,
Cameroon,1996,1A1A3,Oil,,,,,
Cameroon,1996,1A1B,Coal/peat,,,,,
Cameroon,1996,1A1B,Natural gas,,,,,
Cameroon,1996,1A1B,Oil,,,,,
Cameroon,1996,1A1C,Coal/peat,,,,,
Cameroon,1996,1A1C,Natural gas,,,,,
Cameroon,1996,1A1C,Oil,,,,,
Cameroon,1996,1A2,Coal/peat,,,,,
Cameroon,1996,1A2,Natural gas,,,,,
Cameroon,1996,1A2,Oil,,,,,
Cameroon,1996,1A2A,Coal/peat,,,,,
Cameroon,1996,1A2A,Natural gas,,,,,
Cameroon,1996,1A2A,Oil,,,,,
Cameroon,1996,1A2B,Coal/peat,,,,,
Cameroon,1996,1A2B,Natural gas,,,,,
Cameroon,1996,1A2B,Oil,,,,,
Cameroon,1996,1A2C,Coal/peat,,,,,
Cameroon,1996,1A2C,Natural gas,,,,,
Cameroon,1996,1A2C,Oil,,,,,
Cameroon,1996,1A2D,Coal/peat,,,,,
Cameroon,1996,1A2D,Natural gas,,,,,
Cameroon,1996,1A2D,Oil,,,,,
Cameroon,1996,1A2E,Coal/peat,,,,,
Cameroon,1996,1A2E,Natural gas,,,,,
Cameroon,1996,1A2E,Oil,,,,,
Cameroon,1996,1A2F,Coal/peat,,,,,
Cameroon,1996,1A2F,Natural gas,,,,,
Cameroon,1996,1A2F,Oil,,,,,
Cameroon,1996,1A2G,Coal/peat,,,,,
Cameroon,1996,1A2G,Natural gas,,,,,
Cameroon,1996,1A2G,Oil,,,,,
Cameroon,1996,1A2H,Coal/peat,,,,,
Cameroon,1996,1A2H,Natural gas,,,,,
Cameroon,1996,1A2H,Oil,,,,,
Cameroon,1996,1A2I,Coal/peat,,,,,
Cameroon,1996,1A2I,Natural gas,,,,,
Cameroon,1996,1A2I,Oil,,,,,
Cameroon,1996,1A2J,Coal/peat,,,,,
Cameroon,1996,1A2J,Natural gas,,,,,
Cameroon,1996,1A2J,Oil,,,,,
Cameroon,1996,1A2K,Coal/peat,,,,,
Cameroon,1996,1A2K,Natural gas,,,,,
Cameroon,1996,1A2K,Oil,,,,,
Cameroon,1996,1A2L,Coal/peat,,,,,
Cameroon,1996,1A2L,Natural gas,,,,,
Cameroon,1996,1A2L,Oil,,,,,
Cameroon,1996,1A2M,Coal/peat,,,,,
Cameroon,1996,1A2M,Natural gas,,,,,
Cameroon,1996,1A2M,Oil,,,,,
Cameroon,1996,1A3,Coal/peat,,,,,
Cameroon,1996,1A3,Natural gas,,,,,
Cameroon,1996,1A3,Oil,,,,,
Cameroon,1996,1A3A,Coal/peat,,,,,
Cameroon,1996,1A3A,Natural gas,,,,,
Cameroon,1996,1A3A,Oil,,,,,
Cameroon,1996,1A3A1,Coal/peat,,,,,
Cameroon,1996,1A3A1,Natural gas,,,,,
Cameroon,1996,1A3A1,Oil,,,,,
Cameroon,1996,1A3A2,Coal/peat,,,,,
Cameroon,1996,1A3A2,Natural gas,,,,,
Cameroon,1996,1A3A2,Oil,,,,,
Cameroon,1996,1A3B,Coal/peat,,,,,
Cameroon,1996,1A3B,Natural gas,,,,,
Cameroon,1996,1A3B,Oil,,,,,
Cameroon,1996,1A3C,Coal/peat,,,,,
Cameroon,1996,1A3C,Natural gas,,,,,
Cameroon,1996,1A3C,Oil,,,,,
Cameroon,1996,1A3D,Coal/peat,,,,,
Cameroon,1996,1A3D,Natural gas,,,,,
Cameroon,1996,1A3D,Oil,,,,,
Cameroon,1996,1A3D1,Coal/peat,,,,,
Cameroon,1996,1A3D1,Natural gas,,,,,
Cameroon,1996,1A3D1,Oil,,,,,
Cameroon,1996,1A3D2,Coal/peat,,,,,
Cameroon,1996,1A3D2,Natural gas,,,,,
Cameroon,1996,1A3D2,Oil,,,,,
Cameroon,1996,1A3E,Coal/peat,,,,,
Cameroon,1996,1A3E,Natural gas,,,,,
Cameroon,1996,1A3E,Oil,,,,,
Cameroon,1996,1A3E1,Coal/peat,,,,,
Cameroon,1996,1A3E1,Natural gas,,,,,
Cameroon,1996,1A3E1,Oil,,,,,
Cameroon,1996,1A4,Coal/peat,,,,,
Cameroon,1996,1A4,Natural gas,,,,,
Cameroon,1996,1A4,Oil,,,,,
Cameroon,1996,1A4A,Coal/peat,,,,,
Cameroon,1996,1A4A,Natural gas,,,,,
Cameroon,1996,1A4A,Oil,,,,,
Cameroon,1996,1A4B,Coal/peat,,,,,
Cameroon,1996,1A4B,Natural gas,,,,,
Cameroon,1996,1A4B,Oil,,,,,
Cameroon,1996,1A4C,Coal/peat,,,,,
Cameroon,1996,1A4C,Natural gas,,,,,
Cameroon,1996,1A4C,Oil,,,,,
Cameroon,1996,1A4C1,Coal/peat,,,,,
Cameroon,1996,1A4C1,Natural gas,,,,,
Cameroon,1996,1A4C1,Oil,,,,,
Cameroon,1996,1A4C2,Coal/peat,,,,,
Cameroon,1996,1A4C2,Natural gas,,,,,
Cameroon,1996,1A4C2,Oil,,,,,
Cameroon,1996,1A4C3,Coal/peat,,,,,
Cameroon,1996,1A4C3,Natural gas,,,,,
Cameroon,1996,1A4C3,Oil,,,,,
Cameroon,1996,1A5,Coal/peat,,,,,
Cameroon,1996,1A5,Natural gas,,,,,
Cameroon,1996,1A5,Oil,,,,,
Cameroon,1996,1A5A,Coal/peat,,,,,
Cameroon,1996,1A5A,Natural gas,,,,,
Cameroon,1996,1A5A,Oil,,,,,
Cameroon,1996,1A5B,Coal/peat,,,,,
Cameroon,1996,1A5B,Natural gas,,,,,
Cameroon,1996,1A5B,Oil,,,,,
Cameroon,1996,1A5C,Coal/peat,,,,,
Cameroon,1996,1A5C,Natural gas,,,,,
Cameroon,1996,1A5C,Oil,,,,,
Cameroon,1996,1B,,,,,,
Cameroon,1996,1B1,,,,,,
Cameroon,1996,1B1A,,,,,,
Cameroon,1996,1B1A1,,,,,,
Cameroon,1996,1B1A11,,,,,,
Cameroon,1996,1B1A12,,,,,,
Cameroon,1996,1B1A13,,,,,,
Cameroon,1996,1B1A14,,,,,,
Cameroon,1996,1B1A2,,,,,,
Cameroon,1996,1B1A21,,,,,,
Cameroon,1996,1B1A22,,,,,,
Cameroon,1996,1B1B,,,,,,
Cameroon,1996,1B2,,,,,,
Cameroon,1996,1B2A,,,,,,
Cameroon,1996,1B2A1,,,,,,
Cameroon,1996,1B2A2,,,,,,
Cameroon,1996,1B2A3,,,,,,
Cameroon,1996,1B2A31,,,,,,
Cameroon,1996,1B2A32,,,,,,
Cameroon,1996,1B2A33,,,,,,
Cameroon,1996,1B2A34,,,,,,
Cameroon,1996,1B2A35,,,,,,
Cameroon,1996,1B2A36,,,,,,
Cameroon,1996,1B2B,,,,,,
Cameroon,1996,1B2B1,,,,,,
Cameroon,1996,1B2B2,,,,,,
Cameroon,1996,1B2B3,,,,,,
Cameroon,1996,1B2B31,,,,,,
Cameroon,1996,1B2B32,,,,,,
Cameroon,1996,1B2B33,,,,,,
Cameroon,1996,1B2B34,,,,,,
Cameroon,1996,1B2B35,,,,,,
Cameroon,1996,1B2B36,,,,,,
Cameroon,1996,1B3,,,,,,
Cameroon,1996,1C,,,,,,
Cameroon,1996,1C1,,,,,,
Cameroon,1996,1C1A,,,,,,
Cameroon,1996,1C1B,,,,,,
Cameroon,1996,1C1C,,,,,,
Cameroon,1996,1C2,,,,,,
Cameroon,1996,1C2A,,,,,,
Cameroon,1996,1C2B,,,,,,
Cameroon,1996,1C3,,,,,,
Cameroon,1996,2,,,,,,
Cameroon,1996,20,,,,,,
Cameroon,1996,200,,,,,,
Cameroon,1996,2000,,,,,,
Cameroon,1996,20000,,,,,,
Cameroon,1996,200000,,,,,,
Cameroon,1996,2A,,,,,,
Cameroon,1996,2A1,,,,,,
Cameroon,1996,2A2,,,,,,
Cameroon,1996,2A3,,,,,,
Cameroon,1996,2A4,,,,,,
Cameroon,1996,2A4A,,,,,,
Cameroon,1996,2A4B,,,,,,
Cameroon,1996,2A4C,,,,,,
Cameroon,1996,2A4D,,,,,,
Cameroon,1996,2B,,,,,,
Cameroon,1996,2B1,,,,,,
Cameroon,1996,2B10,,,,,,
Cameroon,1996,2B2,,,,,,
Cameroon,1996,2B3,,,,,,
Cameroon,1996,2B4,,,,,,
Cameroon,1996,2B5,,,,,,
Cameroon,1996,2B6,,,,,,
Cameroon,1996,2B7,,,,,,
Cameroon,1996,2B8,,,,,,
Cameroon,1996,2B8A,,,,,,
Cameroon,1996,2B8B,,,,,,
Cameroon,1996,2B8C,,,,,,
Cameroon,1996,2B8D,,,,,,
Cameroon,1996,2B8E,,,,,,
Cameroon,1996,2B8F,,,,,,
Cameroon,1996,2B9,,,,,,
Cameroon,1996,2B9A,,,,,,
Cameroon,1996,2B9B,,,,,,
Cameroon,1996,2C,,,,,,
Cameroon,1996,2C1,,,,,,
Cameroon,1996,2C2,,,,,,
Cameroon,1996,2C3,,,,,,
Cameroon,1996,2C4,,,,,,
Cameroon,1996,2C5,,,,,,
Cameroon,1996,2C6,,,,,,
Cameroon,1996,2C7,,,,,,
Cameroon,1996,2D,,,,,,
Cameroon,1996,2D1,,,,,,
Cameroon,1996,2D2,,,,,,
Cameroon,1996,2D3,,,,,,
Cameroon,1996,2D4,,,,,,
Cameroon,1996,2E,,,,,,
Cameroon,1996,2F,,,,,,
Cameroon,1996,2F1,,,,,,
Cameroon,1996,2F2,,,,,,
Cameroon,1996,2F3,,,,,,
Cameroon,1996,2F4,,,,,,
Cameroon,1996,2F5,,,,,,
Cameroon,1996,2F6,,,,,,
Cameroon,1996,2G,,,,,,
Cameroon,1996,2G1,,,,,,
Cameroon,1996,2G2,,,,,,
Cameroon,1996,2G3,,,,,,
Cameroon,1996,2G4,,,,,,
Cameroon,1996,2H,,,,,,
Cameroon,1996,2H1,,,,,,
