jurisdiction,leg_title_english,leg_title_off_lang,leg_ref,year_enacted,year_last_amendment,year_consulted,url,citation_key,
Alberta,Specified Emissions Gas Regulation,,139/2007,2007,2015,2015,http://www.qp.alberta.ca/documents/Regs/2007_139.pdf,AB-SGER,
Alberta,Climate Change and Emissions Management Act - Ministerial Order,,58/2017,2017,,2021,https://www.alberta.ca/assets/documents/CCEMA-fund-credit-ministerial-order.PDF,AB,
Alberta,Technology Innovation and Emissions Reduction Fund Credit Amount Order,,36/2020,2020,,2021,https://open.alberta.ca/dataset/14cf509d-115e-4dd1-adba-33ff8daa5603/resource/6bd40aae-2dbc-4dd8-97e6-0681c16abb5c/download/aep-ministerial-order-36-2020.pdf,AB,
Alberta,Carbon Competitiveness Incentive Regulation,Carbon Competitiveness Incentive Regulation,255/2017,2017,2018,2021,https://www.canlii.org/en/ab/laws/regu/alta-reg-255-2017/latest/alta-reg-255-2017.html?searchUrlHash=AAAAAQArQ2FyYm9uIENvbXBldGl0aXZlbmVzcyBJbmNlbnRpdmUgUmVndWxhdGlvbgAAAAAB&resultIndex=1,AB-CCIR,
Argentina,FINANCIAMIENTO DEL REGIMEN NACIONAL DE PREVISION SOCIAL. AFECTACION DEL I.V.A.. IMPUESTO SOBRE COMBUSTIBLES LIQUIDOS Y GAS NATURAL. ,,Ley 23.966,1991,2017,2021,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/365/texact.htm,ARG,Consolidated version
Argentina,FINANCIAMIENTO DEL REGIMEN NACIONAL DE PREVISION SOCIAL. AFECTACION DEL I.V.A.. IMPUESTO SOBRE COMBUSTIBLES LIQUIDOS Y GAS NATURAL. ,,Ley 23.966,1991,2017,2021,https://www.argentina.gob.ar/normativa/nacional/ley-23966-365/actualizacion,,
Australia,Clean Energy Act 2011,Clean Energy Act 2011,131/2011,2011,,2022,https://www.legislation.gov.au/Details/C2011A00131/Download,,
Australia,National Greenhouse and Energy Reporting Act,,Act No. 175 of 2007,2011,2019,2021,https://www.legislation.gov.au/Series/C2007A00175,AU-NGER,
British Columbia,British Columbia Carbon Tax Act,,SBC 2008 - Chapter 40,2008,,2021,http://www.bclaws.ca/Recon/document/ID/freeside/00_08040_01,BC-CTA,
California,Assembly Bill 32,,AB32,2006,,,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=200520060AB32,CA-AB32,
Canada,Output-Based Pricing System Regulations,,SOR/2019-266,2019,,2021,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-266/page-15.html#h-1185036,SOR,
Colombia,Resolucion 0000009,,,2020,,2021,https://www.dian.gov.co/normatividad/Normatividad/Resoluci%C3%B3n%20000009%20de%2031-01-2020.pdf,COL-DIAN,
Connecticut,Air pollution control,,2012 Supplement to the general statutes of connecticut - Title 22a Environmental Protection - Chapter 446c Air Pollution Control,2012,,2015,https://www.cga.ct.gov/2012/sup/chap446c.htm#Sec22a-200c.htm,CT-APC,
Connecticut,Control of Carbon Dioxide Emissions/Carbon Dioxide Budget Trading Program,,Section 22a-174-31. ,2013,,2015,,CT-CCDE,
Delaware,TITLE 7 Conservation Natural ResourcesCHAPTER 60. ENVIRONMENTAL CONTROL Subchapter II-A. Regional Greenhouse Gas Initiative and CO2 Emission Trading Program,,As amended by SENATE BILL NO. 263,2013,,2015,,DE-T7,
Estonia,Environmental Charges Act,,"RT I 2005, 67, 512",2005,,2016,https://www.riigiteataja.ee/en/eli/524032014003/consolide,EST-ECA,
EU_ETS,Directive 2003/87/EC of the European Parliament and of the Council of 13 October 2003 establishing a scheme for greenhouse gas emission allowance trading within the Community and amending Council Directive 96/61/EC (Text with EEA relevance),,2003/87/EC,2003,2018,2021,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32003L0087,EC,
EU_ETS,"REGULATION (EU) No 421/2014 amending Directive 2003/87/EC establishing a scheme for greenhouse gas emission allowance trading within the Community, in view of the implementation by 2020 of an international agreement applying a single global market-based measure to international aviation emissions",,421/2014,2014,,2021,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32014R0421&from=EN,EC,
EU_ETS,"Directive (EU) 2018/410 of the European Parliament and of the Council of 14 March 2018 amending Directive 2003/87/EC to enhance cost-effective emission reductions and low-carbon investments, and Decision (EU) 2015/1814 (Text with EEA relevance. )",,2018/410,2018,2018,2021,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32018L0410,EC,
EU_ETS,"DIRECTIVE 2003/87/EC OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL
of 13 October 2003 establishing a ?M9 system ? for greenhouse gas emission allowance trading within the ?M9 Union ? and amending Council Directive 96/61/EC",,"OJ L 275, 25.10.2003, P. 32",2020,,2021,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:02003L0087-20180408&from=EN,EC,
France,Energy transition law for green growth,Loi de transition �nerg�tique pour la croissance verte,LOI n� 2015-992,2014,,2021,https://www.ecologie.gouv.fr/loi-transition-energetique-croissance-verte,FRA,
France,,Projet de Loi de Finance,1395,2014,,2015,http://www.assemblee-nationale.fr/14/projets/pl1395.asp,FRA-PLF,
France,,Projet de Loi de Finance,295,2018,,2021,https://www.assemblee-nationale.fr/dyn/15/textes/l15b0235_projet-loi,FRA-PLF,
Hubei,Notice of the Provincial Department of Ecology and Environment on Issuing the 'Hubei Province 2019 Carbon Emission Right Quota Allocation Plan',,MB1803251/2020-133478,2020,,2021,http://sthjt.hubei.gov.cn/fbjd/zc/zcwj/sthjt/ehf/202008/t20200819_2807965.shtml,HB,
