jurisdiction,year,institution,url,last_accessed,comment,citation_key
Alberta,2015,Alberta Emissions Offset Registry,http://www.csaregistries.ca/albertacarbonregistries/home.cfm,,,AL
Alberta,2016,Alberta Environment and Parks,http://aep.alberta.ca/climate-change/reports-and-data/default.aspx,,SGER Entitites Emissions,AL-SGER
Alberta,2018,Alberta Government - Carbon levy and rebates,https://www.alberta.ca/climate-carbon-pricing.aspx#p184s3,,,AG-CLR
Alberta,,Government of Alberta,https://open.alberta.ca/dataset/5d79b86b-7811-413f-88d8-acd36cb9d6d2/resource/d2eb40b9-03ed-4f6b-9abf-127cd761d8c7/download/aep-alberta-greenhouse-gas-quantification-methodologies-version-2-1-2021-03.pdf,2021,,ABGOV(2021)
Alberta,,Government of Alberta,https://www.alberta.ca/technology-innovation-and-emissions-reduction-regulation.aspx,2021,,ABGOV(2021b)
Alberta,,Intelex,https://community.intelex.com/explore/posts/alberta-finalizes-its-technology-innovation-and-emissions-reduction-tier-system,2021,,INTELEX(2021)
Alberta,2019,Government of Alberta,https://www.alberta.ca/about-carbon-levy-administration.aspx,2021,,ALB(2019)
Australia,2015,Clean Energy Regulator,http://www.cleanenergyregulator.gov.au/Infohub/CPM/About-the-mechanism,,,CER
Beijing,2015,China Beijing Environment Exchange,http://www.cbeex.com/article/en/,,,
Beijing,2015,,http://www.bjets.com.cn/article/jyxx/?15,,,
British Columbia,2015,Government of British Columbia,http://www2.gov.bc.ca/gov/content/taxes/sales-taxes/motor-fuel-carbon-tax,,,BC-MFCT
British Columbia,2018,Government of British Columbia,https://www2.gov.bc.ca/gov/content/environment/climate-change/planning-and-action/carbon-tax,,,BC-MFCT-II
British_Columbia,,Government of British Columbia,https://www2.gov.bc.ca/gov/content/environment/climate-change/planning-and-action/carbon-tax,2021,,BC
British_Columbia,,Government of British Columbia,https://www2.gov.bc.ca/gov/content/taxes/sales-taxes/motor-fuel-carbon-tax/business/faqs#exempt-refund,2021,,BCGOV(2021)
California,2015,California's Air Resource Board,http://www.arb.ca.gov/cc/reporting/ghg-rep/reported-data/ghg-reports.htm,,,ARB-CAT
California,2015,Center for climate and energy solutions,http://www.c2es.org/us-states-regions/key-legislation/california-cap-trade,,,CCES-CA
California,2015,California's Air Resource Board - GHG inventory,http://www.arb.ca.gov/app/ghg/2000_2013/ghg_sector.php,,,CA-GHGI
California,2015,California's Air Resource Board - GHG facility and entity emissions,http://www.arb.ca.gov/cc/reporting/ghg-rep/reported-data/ghg-reports.htm,,Reported Emissions by CaT covered entities - Mandatory GHG Reporting,CA-GHGFE
California,2015,California Carbon Dashboard,http://calcarbondash.org,,,CAL-CAR
Canada,,Government of Canada,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-266/page-15.html#h-1185036,2021,,OBPS(2019b)
Canada,,Government of Canada,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-266/page-17.html#h-1185100,2021,,OBPS(2019a)
Canada,,Government of Canada,https://www.canada.ca/en/environment-climate-change/services/climate-change/pricing-pollution-how-it-will-work/greenhouse-gas-annual-report-2019.html#toc7,2021,,ECCC(2019)
Canada,,Deloitte,https://www2.deloitte.com/content/dam/Deloitte/ca/Documents/tax/ca-en-tax-CITN-federal-carbon-backstop_AODA.pdf,2021,,Deloitte(2019)
Canadian Provinces,2016,Statistics Canada - Trade,https://www.ic.gc.ca/app/scr/tdst/tdo/crtr.html?naArea=9998&currency=CDN&toFromCountry=CDN&searchType=All&countryList=ALL&customYears=2014%7c2015&productType=HS6&grouped=GROUPED&reportType=TE&timePeriod=%7cCustom+Years&changeCriteria=true,,,STC-TR
Chongqing,2015,Chongqing Carbon Emissions Trading Center,http://www.cqets.cn/,,,
Denmark,2015,"Ministry of the Environment (miljøministeriet), Denmark",http://www2.mst.dk/common/Udgivramme/Frame.asp?http://www2.mst.dk/Udgiv/publikationer/2004/87-7614-113-6/html/kap05.htm$5.2.5,,,DK-ME
Finland,2015,US EPA,http://yosemite.epa.gov/EE/epa/eed.nsf/dcee735e22c76aef85257662005f4116/50a39751d15c4eb785257746000aff6c!OpenDocument,,,USEPA
